label,ae_k2_z1,ae_k2_z2,ae_k2_err,vae_k2_z1,vae_k2_z2,vae_k2_err,ae_k8_z1,ae_k8_z2,ae_k8_err,vae_k8_z1,vae_k8_z2,vae_k8_err,ae_k32_z1,ae_k32_z2,ae_k32_err,vae_k32_z1,vae_k32_z2,vae_k32_err
5,4.4804025,-6.4529076,0.046908166,0.15952145,-2.5874827,0.051607244,-10.76815,1.1701448,0.021701831,-1.5426544,0.9382948,0.025758829,-6.370206,-12.015295,0.011941691,-0.40586793,-0.81084925,0.025592813
9,5.002302,-1.5130224,0.029393291,0.59421766,-0.35069,0.035896398,0.8249806,9.326011,0.01760513,0.13291705,-0.84192544,0.022363864,-7.664138,3.0371192,0.012327728,-1.9111757,0.6919584,0.024170779
2,1.5084671,-5.7704363,0.08464808,-2.1294901,-0.9665888,0.06639925,3.26426,-7.9032283,0.009434047,0.48804414,-1.3130575,0.015318811,11.457517,-11.1404915,0.0059183207,0.71039045,-0.4759754,0.028017715
6,2.6054826,-7.4230385,0.055415407,1.1356058,1.4893858,0.0335504,-2.724085,-4.291084,0.02649773,-0.69498205,0.19532132,0.022823676,1.79789,-5.920852,0.010752833,0.9738654,-1.8583459,0.04257768
3,1.0332932,-9.516338,0.048068266,-0.5080329,-0.6501741,0.049218066,5.209131,-4.603384,0.023325738,0.2773982,-0.48922706,0.037322715,6.9868116,3.429794,0.013818825,0.453406,-0.07506977,0.033834152
1,5.5297465,-5.111104,0.026438339,0.95698017,-2.4389448,0.017518608,-6.6139045,5.0109377,0.010439224,-2.0396473,-1.7479001,0.013468544,-8.545617,-9.733959,0.006394444,-2.3682976,-1.3059225,0.01607039
6,-1.7424237,-8.147975,0.0660889,-0.12224014,1.6538367,0.059117187,4.492806,-9.516191,0.030197814,1.1572415,0.81801784,0.03702195,13.556059,-1.692233,0.012964726,2.3490367,-0.63813657,0.02786177
9,11.51064,-6.323491,0.027064199,1.0683928,-0.68706965,0.032217566,-3.460682,9.535227,0.009281519,-1.2465588,-0.13132848,0.015704669,-11.114496,4.6632977,0.006031593,-1.692057,-0.25812182,0.013627045
9,13.227389,-11.059372,0.022908594,2.4195824,-0.40138713,0.030609474,-10.911504,5.207232,0.011063226,-2.2639604,0.49571007,0.01687693,-12.008757,-2.0224469,0.007600065,-1.3950429,-1.0057174,0.024811663
6,-0.54371643,-7.083837,0.06032626,0.0008035116,1.7674391,0.050560877,-0.9212979,-8.7442255,0.03252253,-0.37318134,0.62259305,0.043857828,7.924127,-7.4799294,0.026403362,1.619666,-1.3884226,0.045522377
9,9.561828,-1.2850922,0.036747344,0.649543,-0.3069563,0.041242246,2.8138034,13.776732,0.015501679,0.4057526,-0.68116295,0.027155763,-7.949262,10.961249,0.012732164,-1.8333402,1.301772,0.022633204
2,3.5599198,-3.7408545,0.054932307,0.86068445,-1.6738474,0.056418456,1.3448526,3.1314452,0.03680351,0.1247616,-1.2569607,0.04909295,-1.8627805,-3.66738,0.012448946,-1.1672162,-0.13462183,0.037375834
7,6.600556,2.8026955,0.03733712,0.08255763,0.098491974,0.059340775,11.0439825,11.45801,0.019770915,2.1019344,-0.6393746,0.019706951,-5.423604,11.858329,0.006854654,-1.1959308,2.4071941,0.023113297
2,4.4854918,-11.408436,0.06302351,0.5231805,1.6077714,0.065802075,-5.089919,-10.582134,0.012552253,-0.4187752,1.0992849,0.0172868,4.9882383,-3.8855398,0.0073833293,2.1084108,-0.8070469,0.028328842
6,2.4635382,-7.217593,0.050461918,0.89919144,1.5168412,0.040139485,0.4710342,-4.5321026,0.0145137245,-0.28282297,-1.083202,0.024259605,1.9435148,-1.9605391,0.009635043,0.788086,-1.8047576,0.026845688
8,0.3332872,-3.910116,0.05098009,-0.82671297,-0.46856454,0.05553741,9.579262,0.18333627,0.029411808,0.99625635,-2.5791147,0.03185104,6.606115,-0.06858387,0.019403776,-0.5652478,-0.24125038,0.032352723
9,0.3847383,-6.641555,0.05413082,-0.4787286,-0.1521854,0.041843574,12.016879,2.9612463,0.02204728,2.0635483,-1.1449316,0.028363632,4.325295,11.678192,0.018231591,-0.43388292,1.5805454,0.029131161
8,7.0529604,-14.963866,0.069249876,2.4901586,1.9249659,0.058284722,-12.144183,-8.590198,0.037673485,-1.1261317,2.3085854,0.048023064,2.372121,-6.890865,0.01925245,1.8556986,-0.45454177,0.040212005
5,-0.72018105,-6.465633,0.084474415,-1.2573,0.16287108,0.06380108,13.283259,-2.9421446,0.021537026,2.4326975,-0.03984982,0.04288003,12.303818,4.086076,0.014998963,0.52230763,1.7055134,0.039651845
1,1.177302,-4.6745048,0.04507958,-0.7392169,-1.1031287,0.045330115,2.8050096,-1.9767872,0.024916328,-0.375868,-1.2236848,0.030953854,1.9879621,-3.2542248,0.016747333,-0.34800458,-0.24619068,0.028636957
9,8.971866,-3.3155901,0.027165882,0.8735716,-0.9158066,0.035192937,-1.2375201,6.5295954,0.018617969,-0.43427595,-0.81917024,0.027720483,-6.7844543,2.0373588,0.013201792,-1.3920219,-0.024321193,0.03341939
0,-4.832192,-2.3400006,0.051558983,-2.395272,0.7697141,0.04645882,7.9635653,-6.5897737,0.011357335,1.8640765,1.0817018,0.02189917,13.493252,-0.8520484,0.007956249,1.1596029,1.3508729,0.022616666
4,9.055758,-0.21032685,0.040189143,0.39787105,-0.10579322,0.04664226,5.171311,12.402666,0.021409146,1.3687315,-0.9724275,0.030971915,-6.859453,10.468322,0.011022007,-1.78357,1.9278588,0.034442283
3,1.7512263,-7.5590634,0.052229326,-0.30971113,-0.78656113,0.035157155,6.862671,2.3811274,0.016478354,0.07956161,-2.0209506,0.015580607,-0.17751418,5.507968,0.009394598,-1.2308546,0.3899132,0.030372446
6,-0.33563548,-4.7154207,0.05239782,0.36129707,1.4679517,0.0404062,-0.53237504,-4.201649,0.015816545,-0.19686574,0.4153346,0.030337991,3.5215235,-4.85529,0.013164798,1.0314806,-1.4028444,0.021032302
1,4.603613,-7.129048,0.02778354,-1.651638,-2.490278,0.012181078,-7.886049,-1.6312267,0.0033117204,-1.8142197,-0.660687,0.009976747,-3.7152574,-13.247049,0.0021122596,-0.8841427,-1.5867825,0.02864059
6,1.515697,-7.139529,0.055070557,0.5694638,1.990818,0.046424296,-0.92295915,-8.622339,0.020693809,-1.2433438,-0.55284816,0.024804218,6.7448936,-9.717171,0.011793993,0.7059144,-2.5089555,0.023113051
4,5.241205,-0.022327457,0.037815306,0.29777092,0.031076545,0.0455198,4.553016,11.286382,0.019730762,1.6916376,-0.7918231,0.0286608,-4.850662,8.480009,0.013979834,-1.2874366,1.786243,0.029384226
4,5.848546,2.483487,0.04553919,0.19963703,0.3051068,0.061026283,3.9024029,6.6455226,0.022696707,1.7342329,1.4484421,0.02957905,-2.1620417,11.79899,0.011685362,0.79208213,2.1622846,0.03547272
0,-1.606806,-8.127342,0.05274134,-0.70377076,0.822999,0.06417595,11.834391,-5.823314,0.03384312,2.151971,-0.2059389,0.03697512,15.902121,4.059771,0.015346439,1.570281,0.45973817,0.04783425
4,8.474453,-7.2977023,0.040201485,1.5731907,0.70641327,0.036636215,-9.52317,4.722238,0.012179745,-1.6361234,0.7845053,0.022957684,-11.668389,-4.044558,0.008777625,-0.9361659,-1.0561513,0.02683107
6,-1.7958012,-3.5127923,0.07396632,-0.49603456,0.62394774,0.06707512,10.514858,-0.8719564,0.03118371,2.5107405,-0.012919739,0.039515857,10.444362,7.7883573,0.016730513,0.89002365,1.6804732,0.039886147
3,2.9515662,-7.3913364,0.04956787,-0.33989358,-1.1565408,0.043720216,-0.9677578,2.6102407,0.03163808,-0.5497522,-1.6127167,0.03276421,-4.9787073,1.4741256,0.014737408,-1.5213574,-0.011399027,0.029713186
3,0.75722003,-4.180614,0.03857702,-0.47990185,-1.278612,0.03128583,1.3365421,-1.6625197,0.01860638,-0.4884562,-1.1303979,0.018727824,0.33199042,-4.954175,0.013760857,-0.67216474,-0.81851196,0.02677926
7,13.722511,-8.392809,0.0369858,1.9672215,-0.48667508,0.04099522,-6.2131352,4.2207065,0.014708436,-0.49158302,1.6703786,0.019076064,-8.1694355,6.1359515,0.009939896,0.075821474,0.8080427,0.03221114
5,2.7433507,-11.77637,0.065203756,0.101135164,-0.48287708,0.0633083,2.5001998,-0.0574834,0.031863477,-0.07301469,0.8597011,0.029769404,1.0199881,5.5740294,0.011529441,0.11041702,0.40930122,0.03177034
6,2.1366947,-11.889491,0.03612846,0.1892506,1.9965439,0.04154917,-0.16290191,-8.816229,0.016421128,-0.49625865,0.22326444,0.024589745,7.781757,-3.0700464,0.011414804,1.6692244,-1.9034002,0.025787504
0,-3.2094254,-8.236863,0.033350974,-1.2703896,1.6038227,0.037088975,3.5171454,-8.595665,0.015698325,1.2393534,1.7567592,0.02828692,12.916545,2.8780236,0.00714963,2.3076615,0.9801612,0.018097017
4,9.162267,-8.074189,0.067651734,1.5389074,0.87927365,0.049713437,-11.522929,-0.21825151,0.021403894,-1.5745287,1.7228779,0.029847,-5.627433,-4.802333,0.015478901,0.567114,-0.9821339,0.03400044
1,4.498135,-3.0148597,0.020121492,1.0197395,-2.0710118,0.011144344,-2.698048,6.2195725,0.0048936703,-1.0524504,-2.4057658,0.011013714,-7.3835588,-7.3677125,0.0025574476,-2.1885567,-0.9931846,0.0058138384
8,7.816209,-13.358448,0.035320755,-0.544215,-1.5004385,0.058297947,-10.113458,-5.3051243,0.021726964,-2.1123712,0.7286228,0.028000424,-4.3558,-9.434456,0.013623763,0.006699082,-1.5507149,0.022933828
4,11.191449,-4.0068765,0.07604748,1.679856,0.71761036,0.056146357,-5.1453466,2.329119,0.025658622,0.063073955,2.1744423,0.030997483,-2.130667,2.832926,0.01339864,1.0042839,0.21290867,0.02502733
8,0.83977014,-8.638284,0.06188351,-0.4544953,-0.038991272,0.055782113,6.5249166,-1.7796391,0.0400272,1.3412877,-0.41853356,0.05316408,6.5668244,6.1560106,0.022076957,0.5813934,0.60031146,0.04274866
7,12.569528,-13.1325035,0.031238668,2.7509573,-0.87767965,0.023167398,-11.953683,3.6789088,0.01342181,-0.7849088,1.3509958,0.018133521,-11.11758,3.411711,0.0073820273,-0.6065195,1.1502781,0.013942202
2,0.8353172,-5.312197,0.045502454,-0.18440647,-0.41938496,0.05683437,2.2618651,-2.498716,0.04877447,-0.065901585,-0.43425477,0.041429933,3.3353379,-2.3789158,0.02253981,-0.14478499,-0.21311127,0.037509277
6,2.514203,-8.258371,0.0549778,0.96065253,1.89226,0.03202967,-0.24021672,-6.863402,0.015002586,-0.92230403,-1.0012041,0.017589472,4.892808,-4.4004254,0.008755422,0.9081887,-2.4800026,0.019200021
0,-0.9953187,-7.290825,0.0526759,-0.43147948,1.3641073,0.06555433,5.842415,-3.7562168,0.040703595,1.0639179,0.24530041,0.04289212,7.8507943,0.49523988,0.017698985,0.9900962,0.071592934,0.04039417
1,4.843489,-3.895881,0.021022774,0.64759916,-2.1217659,0.019550376,-5.0244226,6.378444,0.005980331,-1.3856072,-1.9049162,0.017536078,-8.984868,-7.9320803,0.0033280212,-2.467441,-0.7800728,0.015361167
6,2.566314,-5.881884,0.05114698,0.60067415,1.3657019,0.04928201,-4.9058557,-6.0627356,0.021910833,-1.3023434,-0.17699772,0.033336993,1.5223219,-10.633226,0.0179156,0.46162498,-2.0643544,0.029320661
7,15.117062,-15.188047,0.026308881,2.916539,-0.38969228,0.026300019,-14.735563,5.0559273,0.022709332,-1.6786959,1.9991599,0.026642116,-13.361784,1.9061943,0.006571544,-0.93576,0.7660064,0.025698064
7,6.7506557,-8.01964,0.03056877,1.0593884,-0.92563385,0.045004144,-7.756197,5.0660906,0.017943263,-0.6874212,-0.04725264,0.020484641,-10.475484,-2.3811133,0.013890502,-1.5445669,0.31271115,0.02314148
9,9.548389,-0.5311701,0.049150415,0.3626209,0.1182395,0.0439744,5.986153,4.632124,0.014211241,1.1347109,0.3600764,0.032240685,-0.7155188,10.32651,0.010381928,0.5739375,1.2191879,0.030573204
8,3.2811081,-10.100533,0.047761485,-0.20570213,-1.2693882,0.048431695,-2.7866886,-6.1892524,0.038181134,-1.4014876,-0.36739606,0.040725056,1.9617946,-7.9173317,0.024224613,0.50771374,-1.7700988,0.03536375
1,3.6336486,-2.149615,0.027967494,0.81839085,-1.6205872,0.032867033,1.9754754,4.838512,0.0076872865,-0.32547697,-2.1522188,0.014763831,-3.5776725,-3.7089038,0.005552357,-1.3719345,-0.79047966,0.016903892
2,1.3597709,-3.3227067,0.05510398,0.6631264,0.52426064,0.049628794,-3.0587122,1.9539684,0.03405047,0.06733914,0.35367152,0.033783663,-4.5982623,-2.370875,0.018351655,-0.29039192,-0.1790929,0.0343263
1,5.0615673,-4.664548,0.032546453,1.0147207,-2.1442504,0.018602887,-2.5166173,3.8928254,0.012920054,-1.4850258,-2.6644585,0.011147477,-5.355072,-7.5805664,0.0045639034,-1.928719,-1.4880809,0.020501439
8,6.2363915,-13.661728,0.04683286,1.6507968,1.1858983,0.050083857,-5.9265833,-6.08962,0.023062993,-0.7963193,0.88198215,0.03673108,1.9676746,-1.6317594,0.014957821,1.1694474,-1.2831734,0.030662837
8,1.6423937,-5.351656,0.058227472,-0.17298304,-0.67541814,0.060346767,7.1483502,5.8355627,0.034348056,0.44775727,-2.182746,0.03897681,-1.936178,3.4349635,0.028476058,-1.1906569,0.5189305,0.043078896
6,2.9821477,-7.1448984,0.05157501,1.1204482,1.7646632,0.02730553,-4.2543573,-5.505109,0.019416438,-0.9648505,0.034011267,0.028629072,1.6039104,-8.643346,0.013797819,0.83591956,-2.2213821,0.02949
0,2.068008,-9.680763,0.0443408,-0.11097264,-0.19946349,0.049435284,6.7501717,-3.989107,0.016333181,0.759115,-0.48122847,0.021653548,7.329623,6.6424556,0.008111478,1.3129404,-0.3704044,0.025638178
2,2.267727,-6.5187945,0.07806196,0.26011494,0.9171444,0.074946396,-3.4968834,-7.8852005,0.02709329,-0.20341727,0.9519343,0.038295805,2.1348429,-4.027803,0.014399716,1.5626045,-0.5488853,0.041340508
8,1.313188,-4.9819703,0.049809124,-0.1372619,-0.5255277,0.043103475,6.5805607,5.036487,0.01762601,0.46514112,-2.2551706,0.02420454,-1.7470253,4.507632,0.015559446,-1.6168039,0.48406816,0.026689786
1,6.3970613,-11.890933,0.039812546,-0.4781831,-1.4138248,0.04467271,-9.479095,-1.3212359,0.014381267,-2.5380793,-1.3108401,0.017362176,-5.777994,-8.364106,0.011163278,-0.8069185,-2.1202095,0.020872034
1,3.0699334,-1.4977591,0.02533628,0.64216757,-1.5605263,0.033550274,2.1983037,5.834109,0.010405021,-0.12031501,-2.0225642,0.01680186,-4.4377456,-3.9587648,0.0058014267,-1.6216315,-0.5048219,0.025523264
4,8.759384,-1.7372049,0.044245373,0.87879914,0.6554106,0.036469374,-0.5977978,4.84559,0.020057447,0.08408966,-0.16697931,0.023201067,-5.0675983,3.0802078,0.01375786,-0.31902626,-0.5713389,0.020372733
4,9.099912,-8.128637,0.038022634,1.6379924,0.46926525,0.034068793,-9.520105,6.805372,0.009477354,-1.2706574,0.7791141,0.013523526,-12.84105,-1.4285171,0.0052805874,-1.1901536,-0.284827,0.019864107
3,1.7037517,-9.762073,0.06882665,-1.47543,-0.33519307,0.06684573,2.772171,-11.950267,0.018530479,0.3114396,0.7197624,0.02978889,12.047401,-0.08766816,0.012240501,2.2246747,0.24005781,0.028420819
6,-0.8321457,-3.4023688,0.04644484,-0.32784787,0.53693014,0.051496636,7.268647,-0.22134571,0.029015258,1.6404779,-0.23042549,0.03783305,5.308954,1.081702,0.019486293,0.09160705,0.6267557,0.03638078
9,7.32442,1.5783532,0.045457568,0.027436856,0.2826729,0.04557231,8.665213,4.853557,0.0165191,1.8161526,0.22426367,0.033433482,2.3230405,12.921526,0.0099614505,0.52967095,2.0351634,0.02506966
8,7.3602123,-9.431359,0.08917106,0.015660001,-0.27593404,0.063044444,6.4026303,3.6455445,0.027865797,0.9178955,-0.5901502,0.033076998,-1.3527075,13.743,0.016121149,-0.25324836,1.280126,0.031009886
6,-1.7726947,-2.9747431,0.064258456,-0.08884111,1.126709,0.066603035,8.92097,-3.7800605,0.01581216,2.061029,-0.22066559,0.031909823,10.444569,1.9968189,0.011996559,1.4514755,0.043046087,0.033652052
8,2.5621207,-7.16045,0.057720948,-0.13839102,-0.32872474,0.051339477,5.2739816,3.2539828,0.018646868,0.561849,-0.40820137,0.031024598,-2.4976313,8.058211,0.016854268,-0.8125191,1.2348839,0.028290652
7,10.501261,0.42377234,0.08158633,1.0778313,-0.05997686,0.07773665,-3.5837543,3.8610752,0.01098797,0.29548213,2.2597659,0.02140904,-3.2699168,6.1210637,0.009011661,0.65386647,1.2916046,0.025168067
3,4.3021812,-13.09596,0.030864356,-0.19797564,-0.32875067,0.058735333,-2.3975227,-6.4809065,0.01991178,-1.1903532,-0.17673329,0.028760228,0.5602592,-1.3297362,0.008756011,0.6310753,-1.4678411,0.023691505
9,3.7584467,1.8356667,0.042387728,0.059081215,0.35369456,0.04953732,6.950756,6.187462,0.021357113,1.7918174,0.7313705,0.024370132,-0.2335473,12.245252,0.00986859,0.26429358,2.4505484,0.031853124
6,1.8182365,-8.053392,0.07196564,0.95394254,2.1171224,0.024370337,-2.4966967,-11.00949,0.006655657,-0.6909572,0.18652791,0.017483765,9.393303,-7.742078,0.004416969,1.6667237,-2.2118292,0.014449083
2,1.2102439,-4.6331754,0.08176206,0.06732464,1.3262281,0.07242718,-3.8478096,-10.928558,0.03249668,-0.114659876,0.9849052,0.05349802,3.367556,-7.0412855,0.024102846,1.8708086,-0.55120593,0.0594065
9,10.433443,-11.387973,0.049474396,2.1152892,-0.1449855,0.048480336,-8.62396,1.8942672,0.025074234,-0.5402416,1.5646534,0.026965529,-6.7795124,2.1178863,0.010383289,-0.25191763,0.84655404,0.027202314
4,3.7894506,1.3781524,0.05133763,0.099735126,0.11670516,0.06898251,9.889797,11.022782,0.02492763,2.7884953,-0.88372004,0.036320962,-1.5963542,11.732164,0.01205879,-0.60485727,2.119253,0.031464472
0,-3.4288275,-9.375299,0.054402124,-1.0553669,2.8023813,0.03874068,0.26398063,-13.436467,0.025226658,0.09139143,1.8995285,0.028488653,13.361008,-5.390806,0.0073001585,2.421925,-0.857283,0.02903831
6,-1.5961529,-1.07967,0.057990853,-0.50985277,0.6084208,0.08055686,8.902011,-0.5771386,0.03343364,2.3771029,-0.23955512,0.049834754,8.575648,2.3557024,0.021902466,0.4717711,1.4391038,0.051055413
4,10.354917,-12.152486,0.033949442,1.8748472,-0.101341076,0.037164684,-9.393177,4.4617743,0.020216351,-1.214511,0.66139555,0.025686909,-10.33247,0.48001343,0.012877794,-0.710547,-0.11685515,0.02160519
9,4.432647,1.6378914,0.035522707,0.13600132,0.12413483,0.045049954,9.142357,6.625303,0.023043307,1.9133825,0.0041794004,0.037955035,-2.1374526,11.018905,0.009770774,-0.120516114,2.137311,0.026007276
1,3.5880804,-3.8413074,0.024103569,0.50473803,-2.1027293,0.025264602,-4.3333,3.8881457,0.016360015,-1.3373299,-1.0485905,0.019249398,-6.6311088,-8.783226,0.011033467,-1.9257699,-1.050157,0.018187929
0,-5.287492,-9.203521,0.033955574,-1.6409222,2.921416,0.025976053,-0.083467394,-10.870732,0.014969068,0.2939226,2.3592448,0.024643283,12.595219,-2.1685967,0.007120927,2.2452896,0.07290258,0.030849002
8,6.5734234,-14.75423,0.031558406,-0.47035003,-1.1110628,0.058389265,-9.09167,-5.5533156,0.01607555,-2.177082,0.14433163,0.019234179,-5.3138876,-6.135362,0.013299633,-0.07024798,-1.820944,0.037299875
8,4.6131988,-9.280978,0.054565176,0.7639301,-0.28791526,0.060838196,-1.6955444,1.2363975,0.036193423,-0.26061615,0.059971128,0.035014044,-1.8971791,3.0857682,0.019462572,-0.32185513,0.41262758,0.03267349
0,-3.9088264,-13.426651,0.022268508,-1.495893,2.5843542,0.04058712,6.041596,-13.391556,0.010762396,1.1071345,1.7847548,0.025323588,18.954035,2.608255,0.0049051014,2.799789,0.39660802,0.01384767
4,4.1857758,1.5873532,0.033403058,0.21956386,0.18871872,0.046124835,7.906503,8.982177,0.01626564,2.025381,-0.5067068,0.029397577,-4.854105,7.584948,0.012877954,-0.7346197,1.5514241,0.024319222
0,-4.3288207,-2.9738703,0.054077297,-1.4706042,1.0750449,0.06233621,3.0009036,-5.360469,0.049341604,0.8225397,0.93139684,0.057627816,10.149517,-2.2209513,0.019680198,1.6124269,0.8764866,0.055565584
6,1.2846872,-7.488392,0.07079308,0.8582417,2.0329783,0.032816637,0.5729209,-10.665301,0.015079092,-0.245056,-0.07723116,0.019247366,11.821755,-7.682496,0.008391089,1.6290104,-1.9891324,0.016251987
7,10.681981,1.8982563,0.031558756,0.683924,-0.37791038,0.04046444,5.028925,11.354317,0.016664987,0.7463961,-0.52017087,0.023523754,-8.386981,8.690201,0.007875947,-1.682153,1.2100966,0.023821434
7,13.006064,-11.81714,0.020058958,2.4417021,-1.0278699,0.014917452,-11.672293,8.277906,0.006026922,-1.2308837,0.7533393,0.016820693,-14.7736845,3.3615901,0.0037368592,-1.8013117,0.9832838,0.009792397
5,1.3458134,-7.7558136,0.043474354,-0.041274015,-0.82528037,0.041192442,1.9159065,-2.2399862,0.02506114,-0.063190825,-0.37662703,0.026103402,1.3698586,-0.64392567,0.017018594,-0.027406154,-0.555409,0.0336676
5,3.06611,-9.908914,0.067985356,0.57633775,1.686574,0.059849232,-5.0029697,-1.9486158,0.039490443,-0.8263704,1.2480807,0.04658138,-0.44775683,-2.532075,0.021568751,0.7245209,-0.7929515,0.04473929
5,0.39219302,-8.324399,0.04578576,-0.6699747,-0.077732876,0.057280973,8.766263,-7.9748826,0.018672163,1.2973242,-0.57002157,0.019853463,14.194266,0.16522883,0.0085454155,1.9019432,-0.8409519,0.02177555
0,-6.0478663,-6.7679577,0.024540957,-1.8523331,2.4053652,0.026354108,-0.5274296,-9.025789,0.01666947,0.4627449,2.2087724,0.021044267,9.706461,-3.2708921,0.007139265,1.7653697,0.74411935,0.018942103
0,-3.0104017,-11.547293,0.025825905,-1.353336,1.7306732,0.04418214,10.161961,-11.621492,0.0074283592,2.0752304,1.3845301,0.017291848,22.659859,7.3895,0.0063151377,3.0600762,0.6675505,0.010452989
1,5.878685,-3.4756494,0.031725865,0.93718123,-1.7269524,0.020483825,0.059606496,7.0442147,0.0055903136,-0.7910111,-2.777987,0.013150158,-6.041968,-3.1548126,0.0041442728,-2.0065556,-0.8939924,0.007966136
0,-6.5437207,-2.414151,0.024720477,-2.857615,0.6667102,0.03289815,9.614729,-7.172675,0.019837515,1.9133009,1.2364773,0.031408478,17.485828,2.1156194,0.007812505,2.0062459,1.9498482,0.024413275
0,-1.1816928,-10.15692,0.048721645,-0.14114079,2.8072846,0.038141206,2.1800883,-12.657461,0.01840286,0.5312262,1.2411875,0.03331826,14.371779,-2.267692,0.013393059,3.0963426,-1.2748541,0.023438014
6,1.6434956,-6.133027,0.04757009,0.6067515,1.0644264,0.04089497,2.9451187,-2.473191,0.020204559,0.26748613,-0.6700326,0.022068445,3.1374924,-0.20782717,0.0135840345,0.66479933,-1.0082971,0.028897474
3,0.83306634,-9.360348,0.044247925,-0.75103074,-0.5266457,0.034276657,10.624612,-3.6925554,0.022085976,0.7537865,-1.526742,0.026292449,7.9064803,3.8585901,0.011366126,-0.14426573,0.22731319,0.03205546
7,6.4693794,7.860931,0.015039384,-0.029000666,0.14170423,0.063864015,11.210745,6.480851,0.012885717,1.7486103,-0.44753855,0.02262279,0.83233166,10.793851,0.007416677,-0.0076399418,1.2828771,0.028192475
6,0.50346416,-6.7548637,0.057731934,0.5056524,2.1798513,0.03363336,0.9595105,-6.2056293,0.01720513,-0.21002114,-0.19634952,0.022020474,6.620181,-4.30769,0.012941753,1.2215505,-1.7882243,0.021757517
7,9.10988,-1.563715,0.049054056,0.7867024,-0.5915509,0.047907397,2.4718428,7.4992924,0.016405733,0.49910858,-0.2475143,0.0263695,-6.2695956,9.136126,0.0075130737,-0.9063217,1.424517,0.023884479
7,10.012489,-4.7255197,0.0337399,1.4060546,-0.70923245,0.035920117,-2.2215915,7.846388,0.013930514,-0.029565638,-0.1639861,0.015219189,-9.769024,5.865734,0.0058599156,-1.2948195,1.2562549,0.018543337
7,8.449127,-10.667014,0.025261281,-0.12071903,-2.5285141,0.040016733,-12.185112,4.4863915,0.012816919,-1.7534883,0.28402722,0.01388381,-12.111406,-5.4777184,0.005887042,-1.7811937,-0.20223375,0.016688416
2,1.7419016,-6.357295,0.0734781,0.05622001,0.6972885,0.071798734,6.3393216,1.0614151,0.036852203,1.0699091,-0.964479,0.03379434,2.647907,4.4079623,0.018875193,0.30739912,0.7561895,0.041886028
4,4.5894103,0.39084247,0.031928718,0.410419,-0.07924682,0.042771567,3.3645215,10.518789,0.019546757,1.2672983,-0.64179134,0.022116765,-5.0806093,6.8523626,0.01213193,-1.5116324,1.4091145,0.024964863
