sample_id,x1,x2,variety
S0054,1.6729,9.9914,pour_over
S0055,10.7104,9.2084,lungo
S0056,10.3228,-13.9902,espresso
S0057,3.2540,9.5935,ristretto
S0058,6.6600,11.7235,lungo
S0059,22.4267,-10.5570,flat_white
S0060,-19.4066,8.1352,americano
S0061,-23.5655,-3.6213,americano
S0062,4.7700,11.7435,cold_brew
S0063,-23.8921,-0.5928,americano
S0064,-21.5614,8.8196,americano
S0065,28.1816,-7.4270,cappuccino
S0066,21.3916,-11.1766,flat_white
S0067,21.3646,-8.2883,flat_white
S0068,14.7685,-17.1419,flat_white
S0069,19.4466,4.4109,cappuccino
S0070,-7.7118,19.1878,french_press
S0071,7.9143,10.8557,ristretto
S0072,-6.1507,5.7058,latte
S0073,6.3081,-20.1022,espresso
S0074,-18.4244,-11.8018,french_press
S0075,-1.2758,-0.9671,latte
S0076,2.9904,9.2406,lungo
S0077,2.7498,11.2911,pour_over
S0078,6.5645,13.9272,lungo
S0079,-3.4295,-22.8436,espresso
S0080,-1.2648,-23.8025,espresso
S0081,0.1917,15.5745,ristretto
S0082,1.3373,19.6234,cold_brew
S0083,21.6961,-7.1755,flat_white
S0084,-20.2422,5.3570,americano
S0085,-3.7303,2.3269,lungo
S0086,7.4990,20.8642,ristretto
S0087,6.5249,3.7144,cold_brew
S0088,18.2004,13.2130,cappuccino
S0089,22.0688,-2.2352,flat_white
S0090,-24.0961,1.8129,americano
S0091,3.1352,14.1007,ristretto
S0092,-20.6060,14.8595,americano
S0093,-20.1755,-12.0024,french_press
S0094,12.5587,20.2373,ristretto
S0095,-0.1572,17.4650,cold_brew
S0096,20.1391,4.6848,flat_white
S0097,3.1150,10.3820,pour_over
S0098,22.5681,-0.6866,cappuccino
S0099,-24.6856,5.2155,americano
S0100,19.9223,19.1976,ristretto
S0101,22.7723,-4.9867,cappuccino
S0102,8.5576,-23.5169,espresso
S0103,-0.0140,3.9064,latte
S0104,-14.3363,23.0718,americano
S0105,24.5024,-1.2685,flat_white
S0106,-16.4378,-11.5540,french_press
S0107,18.0683,1.4117,flat_white
S0108,-0.7919,9.2278,ristretto
S0109,3.6820,11.3397,cold_brew
S0110,0.8559,7.0731,latte
S0111,16.8322,1.3881,cappuccino
S0112,18.7481,-2.6905,cappuccino
S0113,2.3697,17.6579,cold_brew
S0114,-2.0042,10.5327,lungo
S0115,3.6108,11.3064,pour_over
S0116,2.8354,7.4872,lungo
S0117,-4.9846,4.5357,lungo
S0118,-3.1869,16.2015,latte
S0119,0.2903,15.9462,cold_brew
S0120,-11.9286,-11.5178,french_press
S0121,-3.3200,3.6742,latte
S0122,16.7107,12.1169,cappuccino
S0123,0.0499,18.7689,pour_over
S0124,-3.6522,14.9809,pour_over
S0125,24.5070,-1.2245,cappuccino
S0126,-16.1913,0.5198,french_press
S0127,7.6531,-21.0894,espresso
S0128,1.7711,10.7709,pour_over
S0129,-15.3550,-13.8812,french_press
S0130,4.3197,15.5878,pour_over
S0131,2.0171,-24.1359,espresso
S0132,-3.9070,-3.8289,ristretto
S0133,-8.4423,7.6196,lungo
S0134,-19.6327,11.9962,americano
S0135,18.4176,14.9541,cappuccino
S0136,-0.9930,13.1829,latte
S0137,14.5558,-17.1495,flat_white
S0138,1.0696,17.9753,cold_brew
S0139,1.2115,5.2601,pour_over
S0140,-18.2979,-14.0342,french_press
S0141,3.5610,-21.5290,espresso
S0142,2.8018,7.2663,ristretto
S0143,-10.0279,11.5934,lungo
S0144,-26.9550,-0.8163,americano
S0145,22.4164,10.8726,cappuccino
S0146,-4.3452,17.5647,latte
S0147,18.0050,-10.4026,flat_white
S0148,4.8748,20.3993,cold_brew
S0149,4.2091,0.2166,pour_over
S0150,-18.4295,-11.8764,french_press
S0151,8.0819,-22.2766,espresso
S0152,-2.2305,2.5156,ristretto
S0153,-12.0290,14.1859,lungo
S0154,-16.9286,8.0027,americano
S0155,19.6413,12.4155,cappuccino
S0156,6.2805,2.2410,latte
S0157,20.0245,-6.8329,flat_white
S0158,3.8598,19.6340,cold_brew
S0159,7.1733,12.2689,pour_over
S0160,-16.1987,-11.6150,french_press
S0161,6.0237,-20.8395,espresso
S0162,-12.9607,-8.2820,french_press
S0163,1.5602,15.3756,latte
S0164,5.0478,10.9939,latte
S0165,18.1974,-15.4338,flat_white
S0166,2.4203,10.2904,latte
S0167,4.2891,-22.5786,espresso
S0168,-14.5119,-12.3239,french_press
S0169,3.6542,6.8026,pour_over
S0170,-16.9351,-12.6577,french_press
S0171,4.0459,12.5385,pour_over
S0172,25.3387,12.5894,cappuccino
S0173,-2.3138,3.4118,ristretto
S0174,0.1265,20.0051,cold_brew
S0175,-2.2289,19.5406,cold_brew
S0176,-21.5434,8.6316,americano
S0177,-2.4800,9.6161,latte
S0178,-1.9232,-3.6490,ristretto
S0179,2.8097,-24.2696,espresso
S0180,10.7821,-16.1727,espresso
S0181,-9.5787,9.7734,lungo
S0182,-9.7273,12.5413,lungo
S0183,0.7732,22.1943,cold_brew
S0184,-5.0922,0.9687,pour_over
S0185,0.2376,4.6797,lungo
S0186,10.6608,-21.4599,espresso
S0187,2.0680,7.3930,ristretto
S0188,-3.2404,8.8975,lungo
S0189,15.6980,-13.2653,flat_white
S0190,-26.0699,-3.5089,americano
S0191,-19.1435,2.1902,americano
S0192,8.9194,21.0801,cold_brew
S0193,-21.8771,-2.2774,americano
S0194,-23.0291,2.4103,americano
S0195,20.3798,10.4460,cappuccino
S0196,23.7031,-5.4659,flat_white
S0197,18.4445,-13.3828,flat_white
S0198,18.8975,-16.6612,flat_white
S0199,21.0960,12.7838,cappuccino
S0200,-10.3012,-10.4524,french_press
S0201,7.2077,9.8651,ristretto
S0202,-0.1420,12.3760,latte
S0203,5.7108,-24.4258,espresso
S0204,-14.9378,-5.3364,french_press
S0205,2.8973,4.0255,latte
S0206,-8.9809,12.2770,lungo
S0207,-0.0828,14.7836,pour_over
S0208,-5.4016,12.5619,lungo
S0209,14.7961,-16.2841,espresso
S0210,11.3147,-20.6375,espresso
S0211,1.4398,5.4618,ristretto
S0212,1.1311,23.6187,cold_brew
S0213,17.3294,-15.8818,flat_white
S0214,-20.4457,6.7046,americano
S0215,-5.2641,9.3001,lungo
S0216,1.0762,10.6778,ristretto
S0217,5.7163,19.7646,cold_brew
S0218,-18.3048,9.5261,americano
S0219,-1.6310,0.2375,ristretto
S0220,-19.8427,8.7800,americano
S0221,-14.0485,-5.2113,french_press
S0222,7.5824,10.8932,ristretto
S0223,-1.6468,21.7573,cold_brew
S0224,19.4724,-2.2587,flat_white
S0225,1.7911,-2.9653,pour_over
S0226,26.2501,11.8068,cappuccino
S0227,-17.8526,9.1368,americano
S0228,3.9174,11.0087,ristretto
S0229,24.8452,13.1000,cappuccino
S0230,0.1382,-25.0849,espresso
S0231,-0.3028,11.0241,latte
S0232,-13.5240,9.0317,americano
S0233,17.4783,-13.7517,flat_white
S0234,-13.9419,-9.5398,french_press
S0235,9.9306,-21.5780,flat_white
S0236,9.5303,9.7628,ristretto
S0237,-0.2045,20.8790,cold_brew
S0238,7.6954,8.7053,latte
S0239,20.7972,12.8702,cappuccino
S0240,22.2579,15.9884,cappuccino
S0241,5.5221,20.4699,cold_brew
S0242,1.4937,-1.3955,lungo
S0243,5.4240,15.7706,pour_over
S0244,-1.3203,0.5309,lungo
S0245,-4.2741,12.1178,lungo
S0246,4.4599,11.0332,latte
S0247,3.1717,12.7904,latte
S0248,17.5466,8.2214,cappuccino
S0249,1.3570,7.5453,pour_over
S0250,-0.3704,8.0340,pour_over
S0251,22.6978,13.2809,cappuccino
S0252,-8.9714,-12.6886,french_press
S0253,7.9570,-23.2107,espresso
S0254,-1.7646,2.8775,pour_over
S0255,-4.0612,-8.3993,french_press
S0256,5.2717,5.3640,pour_over
S0257,5.6484,-18.7949,espresso
S0258,10.8481,21.2592,ristretto
S0259,-10.6332,4.2949,lungo
S0260,-19.4732,-3.3440,americano
S0261,20.9178,1.5933,cappuccino
S0262,-11.5808,-11.2267,latte
S0263,14.5658,-15.6247,flat_white
S0264,-5.7037,22.3531,cold_brew
S0265,-6.6729,-1.7017,pour_over
S0266,-7.9408,8.7328,french_press
S0267,3.1502,-20.8327,espresso
S0268,8.7690,18.5844,ristretto
S0269,-10.7632,6.6150,lungo
S0270,-15.6656,1.2307,americano
S0271,26.4529,3.9440,cappuccino
S0272,-6.2115,17.5078,latte
S0273,18.3820,-15.1564,flat_white
S0274,1.0692,17.7693,cold_brew
S0275,1.7502,9.2223,pour_over
S0276,-4.3077,17.0660,french_press
S0277,0.6474,-20.8233,espresso
S0278,13.4315,18.0190,ristretto
S0279,-13.2697,5.2211,lungo
S0280,-22.5037,-0.8223,americano
S0281,23.3953,1.0159,cappuccino
S0282,-8.8928,-1.5683,latte
S0283,14.9748,-15.3189,flat_white
S0284,7.5020,14.3911,cold_brew
S0285,7.0582,7.6709,pour_over
S0286,-23.4221,-8.7316,french_press
S0287,5.8180,-18.4977,espresso
S0288,-17.3489,-10.6481,french_press
S0289,-7.4993,-5.1513,latte
S0290,-7.0404,-12.8006,latte
S0291,17.7594,-10.0539,flat_white
S0292,-8.5462,-14.4379,latte
S0293,-3.1606,-18.9704,espresso
S0294,-15.1427,-6.6869,french_press
S0295,-2.6512,1.7740,pour_over
S0296,-16.0389,-13.8700,french_press
S0297,-1.0876,1.7525,pour_over
S0298,27.5662,-4.1306,cappuccino
S0299,14.1718,18.8111,ristretto
S0300,-4.2258,17.7265,cold_brew
S0301,1.3544,13.7206,cold_brew
S0302,-20.5420,-0.0421,americano
S0303,-7.0797,-1.4210,latte
S0304,9.7184,16.8406,ristretto
S0305,3.6631,-20.5380,espresso
S0306,-0.6204,-24.8482,espresso
S0307,-12.3665,1.5273,lungo
S0308,-10.0702,5.3630,lungo
S0309,-5.2528,19.5521,cold_brew
S0310,-8.1330,-4.3911,pour_over
S0311,-13.2824,8.8611,lungo
S0312,1.1144,-21.3357,espresso
S0313,5.5929,11.5601,ristretto
S0314,-12.3550,3.6047,lungo
S0315,5.4963,-13.6187,flat_white
S0316,-16.3161,3.3659,americano
S0317,-20.7492,1.9286,americano
S0318,1.8903,16.6515,cold_brew
S0319,-25.4238,-0.5509,americano
S0320,-20.4332,1.7087,americano
S0321,28.8892,-2.7424,cappuccino
S0322,14.1246,-16.9262,flat_white
S0323,14.6657,-14.9739,flat_white
S0324,19.1795,-11.1892,flat_white
S0325,25.9717,-2.5738,cappuccino
S0326,-3.2273,11.3460,french_press
S0327,11.3913,20.4100,ristretto
S0328,5.3288,-1.0858,latte
S0329,1.9832,-20.7264,espresso
S0330,-6.9189,13.6292,french_press
S0331,-5.5029,-2.7727,latte
S0332,-15.5417,7.8255,lungo
S0333,-4.8050,-4.5207,pour_over
S0334,-15.0433,3.7417,lungo
S0335,3.4397,-24.5800,espresso
S0336,0.5225,-17.9952,espresso
S0337,8.2793,25.3450,ristretto
S0338,2.6393,14.2526,cold_brew
S0339,20.5560,-5.2689,flat_white
S0340,-20.4681,0.5815,americano
S0341,-16.0211,6.2860,lungo
S0342,6.8762,20.6174,ristretto
S0343,0.9627,14.2037,cold_brew
S0344,26.4136,4.1650,cappuccino
S0345,13.9569,-16.8078,flat_white
S0346,-25.2221,2.7254,americano
S0347,10.9270,23.1019,ristretto
S0348,-15.9833,2.7315,americano
S0349,-7.2348,6.0706,french_press
S0350,10.1297,20.7368,ristretto
S0351,-1.9752,17.4100,cold_brew
S0352,17.3462,-11.2441,flat_white
S0353,1.9410,4.4461,pour_over
S0354,30.3990,-7.8097,cappuccino
S0355,-10.4318,-1.0471,americano
S0356,3.4675,25.2559,ristretto
S0357,20.6932,6.3892,cappuccino
S0358,1.1894,-20.3134,espresso
S0359,-10.2117,-11.6434,latte
S0360,-22.3663,-3.8723,americano
S0361,17.1111,-17.6045,flat_white
S0362,-7.8899,13.3087,french_press
S0363,14.9585,-15.6610,flat_white
S0364,15.2067,12.6008,ristretto
S0365,4.3689,17.0174,cold_brew
S0366,-7.8647,1.2977,latte
S0367,29.4678,-9.3794,cappuccino
S0368,28.0962,0.7074,cappuccino
S0369,0.1464,15.9975,cold_brew
S0370,-13.7114,5.0579,lungo
S0371,-7.0340,-1.1465,pour_over
S0372,-11.4390,6.7573,lungo
S0373,-12.9377,11.0984,lungo
S0374,-13.4634,-11.4245,latte
S0375,5.1775,11.9136,cold_brew
S0376,0.8101,0.9831,french_press
S0377,-2.1910,13.9350,latte
S0378,28.8528,-1.6755,cappuccino
S0379,-6.8732,-8.2826,pour_over
S0380,-4.9299,-1.7271,pour_over
S0381,26.8375,1.2303,cappuccino
S0382,2.2949,-7.5884,french_press
S0383,2.4782,-24.0632,espresso
S0384,3.4198,11.9576,pour_over
S0385,-0.0983,8.2645,french_press
S0386,-23.6941,1.8254,americano
S0387,-5.2792,-25.0021,espresso
S0388,-6.0629,-2.4268,ristretto
S0389,-7.6438,11.2107,lungo
S0390,-21.2915,-1.7549,americano
S0391,17.7812,3.7715,cappuccino
S0392,-10.1887,2.9349,latte
S0393,20.8239,-10.9466,flat_white
S0394,2.5547,8.5624,cold_brew
S0395,0.1368,1.0727,pour_over
S0396,-19.3934,-9.6996,french_press
S0397,-0.7939,-24.9457,espresso
S0398,2.5074,10.4582,ristretto
S0399,-7.1537,1.8928,lungo
S0400,-17.3770,-8.3068,americano
S0401,21.9859,9.7234,cappuccino
S0402,-1.5234,8.0565,latte
S0403,14.0648,-8.0691,flat_white
S0404,3.3755,5.4698,cold_brew
S0405,-3.7647,8.2237,pour_over
S0406,-13.6703,-11.0264,french_press
S0407,4.5402,-24.0358,espresso
S0408,4.5004,8.4647,ristretto
S0409,-6.0666,5.9200,lungo
S0410,-9.2979,-13.6329,americano
S0411,22.0999,8.1155,cappuccino
S0412,-0.4322,5.9361,latte
S0413,16.1558,-10.1698,flat_white
S0414,6.2500,4.7004,cold_brew
S0415,5.0894,-6.8734,pour_over
S0416,-14.6292,-11.3559,french_press
S0417,7.5105,-16.9899,espresso
S0418,-10.6592,-10.8013,french_press
S0419,-15.2229,-1.1338,latte
S0420,-3.4547,-0.5000,latte
S0421,10.0302,-11.1239,flat_white
S0422,-12.2719,-5.2544,latte
S0423,-2.6640,-22.5646,espresso
S0424,-13.2399,-10.2253,french_press
S0425,-4.8295,-1.5331,pour_over
S0426,-20.6949,-11.7717,french_press
S0427,-5.4942,1.8603,pour_over
S0428,19.1847,6.3669,cappuccino
S0429,-1.3051,3.4233,ristretto
S0430,7.1983,1.9155,cold_brew
S0431,-4.3536,16.5985,cold_brew
S0432,-20.6657,-6.6171,americano
S0433,-1.5692,4.4317,latte
S0434,1.5100,7.7868,ristretto
S0435,2.8055,-26.5215,espresso
S0436,5.3654,-21.4647,espresso
S0437,-10.3973,6.2173,lungo
S0438,-11.6460,8.5342,lungo
S0439,2.5307,7.1082,cold_brew
S0440,-7.0163,-2.6232,pour_over
S0441,-12.4613,5.1380,lungo
S0442,-5.4040,-26.1554,espresso
S0443,-0.2520,3.3565,ristretto
S0444,-11.7631,1.9712,lungo
S0445,11.1585,-7.3335,flat_white
S0446,-14.1853,-4.5474,americano
S0447,-11.3897,-9.7192,americano
S0448,6.1759,0.6414,cold_brew
S0449,-13.9150,-9.6800,americano
S0450,-12.8329,-9.1773,americano
S0451,22.5780,4.8111,cappuccino
S0452,19.3963,-12.7759,flat_white
S0453,16.8217,-8.0399,flat_white
S0454,17.5952,-11.9142,flat_white
S0455,20.2163,6.1419,cappuccino
S0456,-21.1036,-10.8838,french_press
S0457,-0.4744,8.0749,ristretto
S0458,-5.3273,-6.1443,latte
S0459,2.1714,-18.8476,espresso
S0460,-11.9497,-7.0374,french_press
S0461,-5.7853,-0.2029,latte
S0462,-5.5839,9.9009,lungo
S0463,-6.8381,3.5239,pour_over
S0464,-9.0118,8.3932,lungo
S0465,-0.9044,-23.8483,espresso
S0466,0.0887,-27.0783,espresso
S0467,6.4248,12.7379,ristretto
S0468,8.8365,-0.6880,cold_brew
S0469,21.0690,-9.3968,flat_white
S0470,-13.5620,-8.2655,americano
S0471,-6.0308,2.8787,lungo
S0472,12.6623,12.0832,ristretto
S0473,-5.2819,14.1301,cold_brew
S0474,17.3500,-1.0559,cappuccino
S0475,13.5852,-10.9312,flat_white
S0476,-12.8170,-8.0269,americano
S0477,-0.3426,10.6137,ristretto
S0478,-15.9613,-3.8490,americano
S0479,-11.8050,-8.9048,french_press
S0480,1.4091,11.2170,ristretto
S0481,-1.5471,2.2869,cold_brew
S0482,12.7817,-13.2578,flat_white
S0483,-2.2975,-9.1647,pour_over
S0484,21.2948,4.4684,cappuccino
S0485,-15.1758,-3.4353,americano
S0486,1.3173,5.8461,ristretto
S0487,20.7878,7.1356,cappuccino
S0488,2.8633,-22.4338,espresso
S0489,-7.0489,3.1495,latte
S0490,-12.0447,-6.3827,americano
S0491,20.8631,-11.2279,flat_white
S0492,-6.5970,-10.8005,french_press
S0493,21.1358,3.9133,flat_white
S0494,2.2719,3.6367,ristretto
S0495,4.8254,6.2318,cold_brew
S0496,-5.0262,2.0666,latte
S0497,14.9412,3.3691,cappuccino
S0498,21.5767,4.0909,cappuccino
S0499,2.8730,2.3173,cold_brew
S0500,-6.5087,4.1300,lungo
S0501,-1.4786,-8.1466,pour_over
S0502,-11.1412,6.8340,lungo
S0503,3.0705,9.8217,lungo
S0504,0.4984,9.8897,latte
S0505,-1.3899,11.2218,cold_brew
S0506,-11.0772,-13.2891,french_press
S0507,8.4520,1.3861,latte
S0508,20.3157,1.8508,cappuccino
S0509,-2.5291,4.0439,pour_over
S0510,0.6017,9.4112,pour_over
S0511,19.0143,9.4951,cappuccino
S0512,-12.8388,-9.4563,french_press
S0513,0.6090,-22.3296,espresso
S0514,-5.9253,-8.7479,pour_over
S0515,-14.7348,-12.6542,french_press
S0516,-7.9409,2.2537,pour_over
S0517,-3.5228,-24.0054,espresso
S0518,-0.8775,5.6455,ristretto
S0519,-3.1184,3.8173,lungo
S0520,-13.9942,-13.4558,americano
S0521,19.3677,6.4292,cappuccino
S0522,-1.9582,-6.2776,latte
S0523,13.9973,-12.2647,flat_white
S0524,-5.8350,18.4719,cold_brew
S0525,3.5529,7.9795,pour_over
S0526,-7.9510,-9.9511,french_press
S0527,0.1298,-21.9466,espresso
S0528,-0.2175,4.0004,ristretto
S0529,-5.1436,7.4640,lungo
S0530,-19.2290,-6.4320,americano
S0531,11.8411,7.6427,cappuccino
S0532,-9.9965,-14.4642,latte
S0533,12.6216,-14.6142,flat_white
S0534,-7.2205,22.2295,cold_brew
S0535,3.8415,2.8595,pour_over
S0536,-8.6726,-14.0612,french_press
S0537,-6.4691,-18.3038,espresso
S0538,1.6178,6.4451,ristretto
S0539,-8.1892,3.0035,lungo
S0540,-12.0707,-2.2800,americano
S0541,22.3165,1.3326,cappuccino
S0542,-13.6455,-10.9119,latte
S0543,13.0964,-17.2621,flat_white
S0544,-2.4599,16.0012,cold_brew
S0545,-3.8268,2.1794,pour_over
S0546,-13.6744,-9.3299,french_press
S0547,0.2076,-22.1849,espresso
S0548,-6.0911,4.8186,french_press
S0549,-11.8918,-2.3214,latte
S0550,-11.2985,-14.4074,latte
S0551,14.0775,-11.7273,flat_white
S0552,-11.5307,-11.7742,latte
S0553,-6.2396,-23.1643,espresso
S0554,-19.4459,-12.5703,french_press
S0555,6.0169,1.6240,pour_over
S0556,-8.3769,-6.1986,french_press
S0557,0.3265,5.7450,pour_over
S0558,19.1726,2.8146,cappuccino
S0559,7.4152,3.6351,ristretto
S0560,3.7740,16.6111,cold_brew
S0561,-4.3138,20.1862,cold_brew
S0562,-17.9058,-5.6783,americano
S0563,-13.3096,-12.1557,latte
S0564,11.9607,2.8161,ristretto
S0565,-2.5094,-24.6874,espresso
S0566,-4.9732,-29.1859,espresso
S0567,-10.3285,8.2260,lungo
S0568,-4.9882,5.2771,lungo
S0569,-5.7440,16.6385,cold_brew
S0570,3.2179,-0.2337,pour_over
S0571,-12.7056,5.4580,lungo
S0572,3.6521,-21.2096,espresso
S0573,9.6802,2.9283,ristretto
S0574,-6.2870,5.7488,lungo
S0575,12.9614,-8.2182,flat_white
S0576,-15.0993,-7.9565,americano
S0577,-19.6106,-10.2790,americano
S0578,-1.3909,19.3136,cold_brew
S0579,-10.9621,-7.7773,americano
S0580,-11.7708,-6.7199,americano
S0581,24.7386,2.5353,cappuccino
S0582,12.7729,-15.1685,flat_white
S0583,18.3597,-12.3988,flat_white
S0584,12.4800,-16.0844,flat_white
S0585,14.6665,9.1591,cappuccino
S0586,-13.9986,-13.9795,french_press
S0587,12.1028,1.1027,ristretto
S0588,-8.4066,-7.4435,latte
S0589,1.7171,-18.9043,espresso
S0590,-19.1384,-10.2101,french_press
S0591,-7.9685,-13.5471,latte
S0592,-10.5284,4.2001,lungo
S0593,1.0525,1.1786,pour_over
S0594,-12.9526,2.8633,lungo
S0595,-8.6319,-18.0548,espresso
S0596,-1.7290,-20.1681,espresso
S0597,8.2633,5.3049,ristretto
S0598,-5.4826,20.9311,cold_brew
S0599,14.4143,-12.4167,flat_white
S0600,-14.2209,-5.8021,americano
S0601,-3.2411,0.1499,lungo
S0602,4.9674,4.7305,ristretto
S0603,-2.0925,20.9001,cold_brew
S0604,16.8512,6.4839,cappuccino
S0605,17.7123,-6.1100,flat_white
S0606,-9.3768,-1.2171,americano
S0607,8.9453,1.7598,ristretto
S0608,-8.2456,-4.5151,americano
S0609,-10.2206,-14.7029,french_press
S0610,0.4302,9.2960,ristretto
S0611,2.6832,19.3629,cold_brew
S0612,16.3538,-14.4086,flat_white
S0613,2.3447,6.2190,pour_over
S0614,18.5511,2.0420,cappuccino
S0615,-19.4580,-4.3160,americano
S0616,7.9142,11.5392,ristretto
S0617,19.8274,3.5611,cappuccino
S0618,-8.7181,-19.2212,espresso
S0619,-11.4765,-17.1530,latte
S0620,-16.9613,-6.4795,americano
S0621,17.4927,-12.6091,flat_white
S0622,-9.1927,-11.3131,french_press
S0623,14.4960,-13.9315,flat_white
S0624,-0.2041,6.2575,ristretto
S0625,-4.6339,20.4087,cold_brew
S0626,-10.6166,-6.5676,latte
S0627,15.6568,-0.2367,cappuccino
S0628,24.3927,0.8281,cappuccino
S0629,-2.9635,17.4682,cold_brew
S0630,-7.6434,8.7607,lungo
S0631,6.5186,2.3785,pour_over
S0632,-18.9683,9.2359,lungo
S0633,-7.4126,5.1064,lungo
S0634,-1.8210,-2.5549,latte
S0635,-6.3770,22.2171,cold_brew
S0636,-20.8163,-12.3471,french_press
S0637,-12.2170,-13.2271,latte
S0638,12.4099,6.2483,cappuccino
S0639,2.0986,1.5507,pour_over
S0640,3.6509,10.3835,pour_over
S0641,15.0576,4.3318,cappuccino
S0642,-18.4387,-16.3648,french_press
S0643,-2.9437,-24.6616,espresso
S0644,2.4302,6.7147,pour_over
S0645,-13.7867,-11.4486,french_press
S0646,5.7151,6.5609,pour_over
S0647,3.1186,-23.4156,espresso
S0648,10.2980,26.0892,ristretto
S0649,-11.2678,5.6069,lungo
S0650,-15.8657,1.4491,americano
S0651,23.2642,10.4442,cappuccino
S0652,4.4492,-1.6154,latte
S0653,16.7893,-12.7079,flat_white
S0654,-1.5776,17.6674,cold_brew
S0655,-5.8991,-1.2194,pour_over
S0656,2.3678,-2.5428,french_press
S0657,-0.9072,-11.5235,espresso
S0658,13.7012,16.0014,ristretto
S0659,-10.5746,2.9335,lungo
S0660,-18.6326,-7.7781,americano
S0661,27.1619,9.2841,cappuccino
S0662,2.4760,-0.2616,latte
S0663,19.3024,-13.8780,flat_white
S0664,2.1293,18.9136,cold_brew
S0665,-1.2592,-3.8124,pour_over
S0666,7.5944,-1.6370,french_press
S0667,7.5480,-21.1273,espresso
S0668,18.1415,11.1425,ristretto
S0669,-14.4662,2.7914,lungo
S0670,-14.6025,3.2546,americano
S0671,17.0649,3.7115,cappuccino
S0672,0.7787,2.6847,latte
S0673,17.3182,-13.7740,flat_white
S0674,4.0198,12.8677,cold_brew
S0675,-3.2391,-3.4862,pour_over
S0676,1.7399,-7.2673,french_press
S0677,4.9437,-19.3457,espresso
S0678,10.3175,-3.0590,french_press
S0679,18.2342,-3.1581,latte
S0680,6.3010,13.6274,latte
S0681,20.2699,-18.1929,flat_white
S0682,8.4134,8.1047,latte
S0683,-0.0563,-25.0071,espresso
S0684,0.9895,4.4601,french_press
S0685,-3.6255,2.5338,pour_over
S0686,8.4757,-1.2879,french_press
S0687,-3.6849,-0.1004,pour_over
S0688,18.3607,10.6188,cappuccino
S0689,10.2493,22.2104,ristretto
S0690,14.6074,7.2261,cold_brew
S0691,7.9768,8.3690,cold_brew
S0692,-11.7337,-6.7196,americano
S0693,4.4212,9.6779,latte
S0694,10.3730,19.5411,ristretto
S0695,7.6943,-22.4119,espresso
S0696,-0.0394,-13.2016,espresso
S0697,-15.0878,5.8990,lungo
S0698,-10.9685,8.1987,lungo
S0699,4.1265,16.2128,cold_brew
S0700,-0.5288,6.2276,pour_over
S0701,-10.1000,8.4536,lungo
S0702,14.5670,-9.4103,espresso
S0703,0.5667,24.2057,ristretto
S0704,-9.7339,3.0912,lungo
S0705,11.8557,-18.1152,flat_white
S0706,-24.3840,-6.5634,americano
S0707,-21.9159,0.0951,americano
S0708,0.5619,17.0400,cold_brew
S0709,-24.3386,-6.3756,americano
S0710,-23.3777,4.1033,americano
S0711,15.7269,5.9088,cappuccino
S0712,15.4336,-14.7690,flat_white
S0713,17.5360,-8.7091,flat_white
S0714,15.1986,-15.7910,flat_white
S0715,22.3594,6.6954,cappuccino
S0716,5.3036,0.3018,french_press
S0717,15.1479,14.1720,ristretto
S0718,9.7242,-6.0010,latte
S0719,8.4128,-20.0490,espresso
S0720,5.2188,3.0909,french_press
