label,umap_nn5_x,umap_nn5_y,umap_nn15_x,umap_nn15_y,umap_nn50_x,umap_nn50_y
6,2.1402,2.2205,4.7011,6.6009,9.6917,10.7117
4,10.6300,9.7252,12.5230,1.8663,12.9620,6.1581
4,10.1361,9.9644,13.1524,1.8677,13.4519,5.8610
0,0.6829,5.6509,3.3763,3.4984,9.1076,8.0568
4,11.5932,5.7065,12.4265,5.2379,14.3148,8.6178
6,-0.4068,2.5267,2.4851,5.8428,7.9851,9.7318
3,6.4856,6.7290,7.3746,3.4236,11.9219,8.2936
3,3.8100,5.3195,6.1167,4.6992,11.0223,9.7034
7,13.8284,6.5024,11.0060,4.5146,15.2809,7.7759
5,4.7677,4.4831,5.4290,4.6427,10.8154,9.1423
6,1.2467,3.8209,4.0762,4.9069,9.7688,9.2485
0,0.1973,5.6465,2.9545,3.5992,8.5781,8.1305
4,11.3789,5.8758,12.5561,5.1786,14.3743,8.6625
1,13.3240,0.1436,9.1652,9.3554,11.3773,12.2042
8,7.2130,4.3623,7.5565,5.2391,12.4567,9.8980
4,11.1028,6.3752,12.8091,4.7712,14.5220,8.1216
8,6.1504,6.8929,7.1461,3.2643,11.3699,8.3470
7,13.8407,5.8913,10.9497,5.1969,15.5869,8.4214
2,7.6229,1.5958,8.9671,4.7246,11.5184,9.6231
6,1.4116,1.7163,4.1127,6.7514,9.2329,10.9010
0,0.6105,5.3466,3.4791,3.8130,9.2250,8.2661
1,13.0329,1.9841,8.6755,8.6486,11.9740,12.3453
6,2.7634,3.2057,5.2494,6.2730,10.0375,10.5988
7,13.4178,5.8121,11.2764,5.1488,15.5539,8.4089
7,12.6790,5.0771,10.6759,5.7130,14.5599,9.1794
9,9.9686,9.3138,12.9505,2.4456,13.4448,6.2407
8,6.4284,4.8675,7.0006,5.3332,11.3922,9.8483
1,14.2004,0.2347,9.5727,9.7349,11.0057,11.9343
2,9.4728,2.7939,9.6525,6.0426,13.8278,9.2135
1,13.4222,0.4021,8.9247,9.2460,11.4610,12.3311
8,6.9512,5.2696,7.5637,4.7125,12.3552,9.2944
8,6.2329,7.1773,7.4673,3.2561,11.9985,8.1912
6,1.3986,1.7932,4.0798,6.7036,9.2698,10.8392
0,1.0809,3.7630,4.1516,5.1337,9.7473,9.1944
2,8.3123,2.5024,9.4386,5.6974,13.8148,10.0530
8,6.2192,7.1391,7.4102,3.1760,11.8510,8.1420
1,12.1385,2.1298,8.0755,7.5194,13.0866,11.7414
1,14.2131,0.3016,9.5951,9.6570,11.0364,11.8335
4,10.7197,8.2723,12.5831,3.0896,13.2965,7.3577
4,11.5112,5.6476,12.4763,5.2643,14.2837,8.6352
3,3.1567,6.5784,6.1515,3.5833,10.6796,8.3048
6,-0.2382,2.7269,2.6382,5.8581,8.1833,9.6376
9,9.9425,9.2285,13.0162,2.2546,13.4035,6.0947
8,7.3111,6.2300,7.8799,3.5757,12.3676,8.5428
6,0.3762,2.1795,3.1951,6.1814,8.5243,10.1271
8,6.7374,6.9170,7.7708,3.6243,12.3089,8.5294
7,12.3582,10.4712,10.8077,2.4755,14.7286,6.3862
3,3.8063,6.1179,6.5307,4.1060,11.1536,8.7646
9,9.9705,9.6430,13.0195,1.9038,13.3295,5.8584
6,1.1968,1.7222,3.9843,6.8799,9.1567,10.8628
2,8.1698,2.3479,9.4233,5.4655,13.8978,10.1488
9,13.3056,6.1454,11.6355,5.1790,15.0488,8.4508
4,10.5827,9.7152,12.6251,1.8193,12.9615,6.0334
0,-1.1495,6.7084,2.7473,4.2985,8.5146,8.6032
6,-0.4480,2.5317,2.4788,5.8289,7.9554,9.5899
4,12.2284,5.7342,11.6919,5.4284,14.5726,8.7881
9,10.6373,9.9026,12.5366,1.6864,13.0415,5.9078
1,12.7326,2.0382,8.2876,8.3113,12.3606,12.2217
0,-1.2063,6.7078,2.6384,4.2822,8.2290,8.4660
8,6.9191,4.4149,6.8895,4.9660,11.9999,9.5804
8,7.1986,6.2662,7.8410,4.0409,12.4546,8.9958
0,0.6950,5.4654,3.0149,3.9950,8.5377,8.3071
4,10.4582,9.8339,12.7783,1.7089,13.1897,5.8461
0,-0.5775,6.1118,2.2749,3.6985,8.0770,8.0201
6,1.1895,1.7110,3.9775,6.8237,9.1629,10.8297
7,12.8653,8.8528,11.2635,2.6946,14.2360,6.4210
7,13.5472,6.3803,11.1415,4.8619,15.3794,8.1574
5,4.9087,5.4687,5.5885,4.4243,10.5568,8.8650
5,3.5983,3.8757,5.7675,6.0379,10.1831,10.0983
5,1.0974,3.6045,4.2480,5.2620,9.6876,9.1309
0,-1.4455,6.4575,2.2512,4.2246,8.0329,8.4320
0,0.5724,5.5822,3.0388,3.5792,8.6633,8.1509
1,13.9356,-0.0548,9.3500,9.7156,11.0559,12.2207
0,-0.6698,5.6875,2.0466,3.5752,8.0861,7.8156
0,0.7728,5.0745,3.3934,4.1785,8.9523,8.7502
6,1.0283,2.6766,3.7538,6.0883,9.1844,10.2500
3,4.8645,7.2242,6.2604,2.7364,11.0163,7.5288
7,11.9105,10.4775,11.0592,2.0286,14.4196,5.9620
6,1.3426,2.2348,3.8800,6.7538,9.0894,10.6899
7,12.9402,8.3997,11.0185,3.2630,14.5166,6.6491
7,13.1974,7.9109,11.0368,4.0033,14.9751,7.2763
7,12.7420,5.1397,11.0368,5.6966,15.0420,9.0576
2,7.9732,0.7834,9.2927,4.8155,13.7647,10.6598
4,10.6893,9.8628,12.4471,1.9769,13.0073,6.2486
2,7.9663,1.6427,9.0285,5.1085,13.4527,9.9557
7,13.2637,7.7818,10.9919,4.0293,14.9673,7.2088
7,13.7206,5.7647,11.0267,5.2332,15.4276,8.6318
1,13.9693,0.0671,9.6263,9.8198,11.0447,12.0432
7,12.6550,5.4850,11.4200,5.2797,15.1898,8.5803
9,11.5156,6.7689,12.3596,4.2811,14.2999,7.7461
8,6.6892,4.8232,7.0543,4.6740,11.9914,9.4418
6,1.2878,2.2027,4.1158,6.1810,9.4947,10.4589
5,4.2984,4.6328,5.8119,5.3257,10.9171,9.9608
3,4.4102,7.4787,6.1459,2.8796,10.5811,7.5656
9,12.3962,5.9025,11.7614,5.4127,14.9905,8.7423
2,7.9349,1.7254,9.0265,5.0087,13.4774,10.5175
8,6.8497,4.7518,7.2195,4.8815,12.0586,9.5188
9,12.4862,7.4324,11.6159,4.0196,13.9918,7.6653
5,4.6466,7.7509,5.3693,2.6419,10.7528,7.2549
3,3.3949,7.2392,6.1480,3.2838,10.7205,7.9520
5,4.8415,7.4371,5.1510,3.2870,10.8550,7.6341
5,3.7455,3.6916,6.4829,6.4708,11.4490,10.8600
7,12.7851,8.8366,11.4717,2.6560,13.8333,6.4721
0,0.0517,5.8615,2.8734,3.4495,8.5891,7.8736
0,-1.6271,6.3605,2.2045,4.3071,7.9166,8.5805
3,4.6553,6.4113,6.8220,4.0834,11.3802,8.7099
0,-1.2417,6.4281,2.4121,3.9886,8.1096,8.2948
9,11.5655,8.8902,12.1545,2.6871,13.3255,6.9368
7,12.7022,9.8490,11.0732,2.7843,14.5248,6.5164
9,12.4660,6.6704,12.1413,4.2684,14.4310,7.4943
8,6.3958,6.8302,7.4166,3.2754,11.8088,8.4249
8,6.5305,6.2655,7.3814,3.7199,11.8726,8.8188
8,5.5367,8.0308,5.5900,2.3020,10.9446,6.9003
0,1.8991,4.4001,3.9378,4.5593,9.2870,9.2948
9,12.6341,6.5685,11.9510,4.4493,14.6750,7.7897
3,5.4076,5.6136,6.1672,4.9641,11.1181,10.0686
6,1.2683,2.1036,4.0464,6.0273,9.3193,10.3514
1,13.5819,0.2258,8.9432,9.1851,11.5349,12.2947
8,6.8087,5.1635,7.4789,4.7208,12.2121,9.4168
4,10.7398,6.8617,13.0175,3.8953,14.1400,7.1425
5,4.3072,4.7527,5.9558,5.3273,11.0450,10.0584
4,12.0786,7.6948,11.9227,3.4080,13.6131,7.4540
4,10.9200,6.6861,12.7643,4.4934,14.3790,7.6955
7,12.7010,5.2140,11.1995,5.5257,15.0894,8.7456
8,7.1036,4.9501,7.2794,4.9598,12.3055,9.5639
5,3.8808,3.6408,6.5198,6.4851,11.5481,10.9284
8,7.9076,4.1914,7.7915,6.2689,12.7690,11.2667
3,3.2951,6.2971,5.9521,3.6751,10.5719,8.4780
6,-0.6462,2.7521,2.3292,5.5851,7.8560,9.2235
3,5.0622,8.2118,5.9615,2.2775,11.0488,7.1908
6,1.8190,2.1032,4.2157,6.4601,9.3896,10.5352
3,5.2350,7.5289,6.3881,2.4614,11.4783,7.3729
2,3.1315,6.6628,6.2649,3.7000,10.5107,8.5379
2,7.1402,3.7038,8.2364,4.5310,12.7562,10.0922
7,13.4417,5.8417,11.1115,5.2620,15.5822,8.5876
4,10.3429,9.9722,12.9235,1.8345,13.2873,5.9327
6,-0.0283,2.7174,2.9118,6.0593,8.4645,10.0102
8,6.1850,6.8814,7.2095,3.3952,11.4066,8.3402
4,11.5619,5.5384,12.5521,5.3657,14.1039,8.7183
7,13.3258,6.8494,11.3122,4.5019,14.9834,7.9782
7,13.5930,6.7311,11.1071,4.3628,15.1467,7.5748
5,4.3351,4.7684,10.4929,4.1970,13.2097,7.8188
6,0.2773,2.3188,3.1450,6.3072,8.5015,10.2059
3,3.5727,6.2028,6.4776,4.0477,11.0175,8.6910
6,-0.3906,2.5728,2.5429,5.9248,8.0789,9.6660
0,-0.0868,5.9190,2.7590,3.4733,8.2819,7.9525
2,7.4418,1.5704,9.0908,4.7287,13.4937,10.7286
5,5.1541,5.1597,5.8149,4.5240,11.1594,9.1274
9,11.4237,6.8162,12.4161,4.2228,14.2742,7.6838
8,7.1973,4.3559,7.3992,5.3288,12.3012,9.9006
8,6.3336,6.9194,7.2391,3.3924,11.6162,8.4785
7,12.9231,8.7327,11.1452,2.9046,14.3865,6.5400
8,4.1049,8.4166,5.1812,2.3662,10.5917,6.8806
4,10.8372,7.3862,12.7704,3.3370,13.6855,6.7798
6,2.2520,2.5055,4.6482,6.0967,9.8530,10.3062
4,10.9596,8.3171,12.4243,2.7032,13.2954,6.8597
2,8.4270,1.9800,9.1199,5.5541,13.5751,10.4140
2,7.9146,0.8069,9.2322,4.8048,13.6781,10.7505
8,6.9137,5.9503,7.5734,4.0086,12.1958,8.9471
3,6.7344,6.1976,7.3032,3.6822,11.9935,8.6875
3,5.0775,8.2309,5.8686,2.2960,11.0075,7.0155
7,13.5173,6.1376,11.0259,5.0605,15.4490,8.4982
3,3.7274,6.1957,6.5904,4.0738,11.2765,8.7605
2,7.9260,1.0619,9.1966,4.8901,13.7903,10.5773
1,11.3746,2.1625,7.8433,7.2311,13.1636,11.8750
6,1.3061,1.7279,4.0865,6.8942,9.3487,11.0678
1,13.3238,0.1836,9.1532,9.2818,11.3970,12.1127
5,4.7441,4.7770,5.3795,4.8061,10.7076,9.2150
2,9.2770,2.4807,9.3771,6.0138,13.6688,10.0325
1,13.5994,-0.1715,9.1916,9.5661,11.2265,12.2980
0,-1.5070,6.3627,2.1293,4.1797,7.9400,8.3856
7,12.2345,8.4490,10.8505,3.4214,13.7958,7.0374
3,3.8807,6.0511,6.3108,3.8669,10.8333,8.5648
5,10.3355,2.7451,6.9828,6.6148,11.9087,11.1318
6,1.8531,2.1853,4.2707,6.3786,9.2294,10.5282
1,13.5204,-0.1453,9.0973,9.5016,11.2308,12.2645
8,5.8323,5.0630,7.0504,4.4292,11.4826,9.0823
1,11.3588,2.1895,7.9614,7.2161,13.0735,11.8118
2,9.5396,2.0168,8.8595,6.4316,12.6633,10.9492
5,4.8851,4.5965,5.4503,4.7530,10.7720,9.2986
8,5.8624,5.0816,7.6091,4.2849,12.1629,9.0841
0,-1.7449,6.1835,2.0027,4.5125,7.8399,8.8456
5,4.8009,7.3774,5.1130,3.3459,10.9172,7.7294
6,1.1802,3.3156,4.2431,5.5301,9.7837,9.7694
0,1.1603,3.6654,4.2467,5.1745,9.7873,9.4390
2,8.2273,2.7753,9.6610,5.7501,13.9208,10.0026
0,1.4472,4.7922,3.5712,4.5923,8.9915,9.1455
0,0.0439,5.8612,2.9133,3.5203,8.4174,7.8926
6,2.2848,2.1409,4.6174,6.5456,9.5708,10.7674
1,13.1217,1.1242,8.7637,9.0106,11.7237,12.4084
1,12.0040,2.7384,8.4424,7.9269,12.6966,12.2649
1,14.2376,0.2462,9.5411,9.6442,11.0612,11.9121
4,10.9494,6.9457,12.8284,4.4664,14.2341,7.9367
2,7.9832,0.8491,9.3338,4.7040,13.8122,10.6423
2,7.2813,1.6089,9.0154,4.6696,13.5002,10.6370
8,7.5200,4.7327,7.6912,4.3954,12.4892,9.1887
3,3.3101,7.3166,6.1927,3.1447,10.6476,7.9771
8,6.7881,6.1674,7.4758,3.6892,12.0609,8.6457
0,1.9314,4.3935,3.8986,4.6312,9.2725,9.1594
6,1.1292,1.7269,3.8262,6.7882,9.0492,10.7700
3,6.9860,6.7247,7.8331,3.7599,12.1843,8.4474
5,4.4581,4.3399,5.5826,5.2744,10.5739,9.7300
6,0.5485,2.6201,3.3311,6.2371,8.7357,10.2273
4,10.9548,6.6183,12.6468,4.5164,14.5804,7.7111
6,3.3926,3.4980,5.9090,6.2669,10.8547,10.5427
3,3.1446,7.6063,6.2031,3.1201,10.7422,7.9381
2,8.2673,2.6779,9.7218,5.6777,14.0398,9.9381
9,12.6163,6.5530,12.1633,4.4951,14.7351,7.8931
4,10.5250,8.9381,12.6007,2.3159,12.9385,6.6369
8,6.5126,4.8914,7.1588,5.2138,11.7560,9.8191
1,13.0451,1.4271,8.6303,8.8159,11.8610,12.3603
1,13.2854,0.2042,9.1679,9.2347,11.4262,12.0482
2,8.5956,2.3879,9.4047,5.8438,13.8720,9.9979
4,11.6314,7.3370,12.3892,3.7041,13.8496,7.6746
8,12.4548,5.3558,7.8242,5.2888,12.7065,9.6855
4,10.8507,6.9532,12.8580,4.3670,14.1569,7.7187
2,7.8635,1.3496,9.0111,5.1401,13.3991,10.4658
9,10.9833,9.9389,12.2467,1.7875,12.8786,6.2505
1,12.3614,4.8540,8.8089,7.4882,12.8717,11.7811
4,10.5613,8.8901,12.5829,2.5113,12.9404,6.7691
9,12.5366,5.8379,11.7167,5.5378,14.9633,8.8942
7,12.3699,7.6011,11.5195,3.7950,14.3001,7.2223
2,8.2347,2.7667,9.6283,5.7941,14.0331,10.0808
7,12.7428,8.3143,11.1341,3.4865,14.5052,6.9767
0,-1.6640,6.2438,2.0646,4.2503,7.8570,8.4640
9,12.6456,7.3262,11.5336,4.0413,14.0772,7.6689
8,7.7907,4.3490,7.7672,5.5561,12.5610,10.1572
1,11.5789,2.0455,7.9108,7.3655,13.0882,11.9128
6,0.3657,1.9909,3.5680,6.5478,8.6169,10.4780
2,7.9329,1.2999,9.1251,5.1620,13.6461,10.6103
7,12.7383,5.2219,11.1680,5.5664,15.1339,8.7964
8,10.8132,2.6887,7.1436,6.7419,12.2306,11.2166
2,8.7364,2.3934,9.4217,5.7713,13.8124,10.0713
4,11.5708,7.0720,12.4398,3.9142,13.9032,8.1465
7,12.8320,8.9436,11.1785,2.7301,14.3664,6.4042
2,8.2523,2.7059,9.6949,5.7189,14.0132,9.9959
3,4.8153,6.8674,6.5587,3.0751,11.1614,8.0283
5,4.9546,6.7440,6.3995,3.3004,10.9854,8.1999
9,11.0059,6.7879,12.6264,4.2564,14.3542,7.4532
5,4.2393,6.7203,5.5261,3.2757,10.9102,7.7852
7,13.0687,5.4272,11.3239,5.6564,15.2476,8.9331
9,11.8945,6.4812,12.2323,4.6422,14.6958,7.9122
2,9.0246,2.5483,9.5265,5.6491,13.7759,9.6536
7,13.4758,6.0229,11.2070,5.2457,15.5160,8.4300
1,12.9634,1.9212,8.4900,8.3549,12.3379,12.4903
5,4.0996,5.0598,6.1056,5.2354,11.0937,10.0645
7,13.8075,5.9207,10.9803,5.1174,15.5652,8.3902
3,4.4692,6.4861,6.7045,3.6679,11.2753,8.2839
0,-0.7033,6.0353,2.2321,3.7589,8.0395,8.1331
5,4.4121,6.0025,5.2157,3.8362,10.2115,8.2532
5,3.8743,3.5911,6.5997,6.5275,11.6979,11.1084
2,7.1932,3.6296,8.3103,4.6668,12.8127,10.1295
8,5.8506,7.2377,7.0920,2.9297,11.7507,8.0577
4,1.2358,2.8696,4.1316,5.8102,9.5807,10.0547
9,10.9478,10.0681,12.1617,1.6795,12.7975,6.1005
8,7.0769,6.4173,7.8595,3.8789,12.3732,8.7221
4,11.1491,6.8339,12.8633,4.2557,14.2036,7.6733
9,12.3322,7.3846,11.8622,3.7909,13.7200,7.5563
2,7.1163,3.8261,8.0534,4.5201,12.9036,9.9835
8,7.0420,5.0061,7.3731,4.8788,12.2328,9.4588
4,11.0637,6.4228,12.7087,4.6259,14.4682,7.9487
4,10.9321,8.2955,12.4179,2.9552,13.4521,6.9522
1,13.7479,0.1386,9.2363,9.4008,11.2277,12.0490
5,4.1892,7.7777,5.2386,3.0111,10.2273,7.6058
6,1.2689,2.2667,4.1271,6.1576,9.3802,10.4829
1,13.1230,1.2059,8.6842,8.9260,11.7704,12.4357
9,12.4270,6.8004,11.9200,4.2704,14.2715,7.7489
9,11.2591,6.9260,12.5739,4.1180,14.2211,7.5843
2,7.9324,0.7883,9.1625,4.7850,13.6777,10.7649
0,1.1367,4.2888,3.8482,4.8042,9.2637,8.9650
0,0.0677,5.7837,2.8531,3.6289,8.6187,8.1289
4,10.6995,8.2488,12.6411,3.0542,11.9342,9.1463
2,7.0670,4.0111,7.9421,4.5260,12.5879,9.4620
9,10.0070,9.5777,12.9457,1.9754,13.4314,6.0147
0,-1.6779,6.9336,2.6859,4.4787,8.4184,8.7116
1,12.7156,1.7750,8.3318,8.1548,12.4755,12.3587
7,12.8929,7.3231,11.3698,4.2051,14.4928,7.5976
1,11.0822,2.5392,7.8657,6.9509,13.0604,11.5675
9,12.6423,6.5649,12.0519,4.6400,14.7374,8.0063
2,9.5842,2.3638,8.6673,6.2228,12.1547,10.5939
3,3.1324,7.5664,6.0474,3.0281,10.5356,7.6222
8,6.9454,5.3981,7.4547,4.6975,12.2497,9.2704
4,13.7287,5.9556,11.0109,5.3769,15.5594,8.7221
1,13.4038,0.3129,9.3463,9.3305,11.3174,11.8758
2,9.4472,2.2960,8.9688,6.1353,13.1155,10.4233
7,13.5261,5.9276,11.1271,5.4192,15.3557,8.7623
9,11.2008,8.5890,12.3689,2.5867,13.2188,6.6850
7,13.8346,5.8049,10.9948,5.2256,15.5391,8.5019
8,11.6099,5.6989,12.4131,5.2112,14.2682,8.7059
9,11.3687,8.7731,12.4787,2.3420,13.3778,6.6188
5,4.5304,4.4971,5.2701,4.5354,10.4072,9.0187
0,-1.6739,6.9944,2.6686,4.4581,8.2708,8.6373
3,3.4317,6.2099,5.9616,3.7177,10.6567,8.5012
3,3.1299,7.1268,6.0075,3.4128,10.4090,8.1523
2,7.9612,3.7614,9.7633,5.8906,13.4809,9.7076
1,13.3107,0.2346,9.0634,9.2545,11.4238,12.0645
5,5.0315,4.7946,5.5320,4.6580,10.8532,9.1734
5,4.6091,4.8045,5.5374,5.0333,10.6094,9.5479
6,-1.1348,5.4277,1.7430,4.1307,7.7079,8.6306
8,7.1019,4.8545,7.4345,4.9534,12.3586,9.4746
3,3.9907,7.7411,5.4290,2.8542,10.2296,7.4254
3,3.0855,7.4470,5.8441,3.0989,10.3220,7.7990
2,7.9682,1.7933,8.9683,5.0440,13.0742,10.5901
3,3.2011,6.4453,6.0601,3.6902,10.5940,8.3539
8,6.4987,6.3956,7.4044,3.5511,11.8932,8.7777
7,13.2495,5.5029,11.1531,5.5851,15.5115,8.8353
9,11.8233,6.3739,12.2011,4.6382,14.6021,8.0628
1,11.1110,1.9991,8.1766,7.0680,12.6211,11.7406
0,-0.9244,5.5828,1.9477,3.6407,7.9965,7.7784
0,1.2701,4.8538,3.5580,4.3265,9.0828,8.7465
4,11.0486,5.9398,3.3878,6.3677,8.9492,9.8705
5,4.4138,6.1650,5.0563,3.3908,10.6188,7.6637
0,2.4976,4.1431,4.0844,4.6212,9.3344,9.2418
5,4.7870,7.4383,5.0971,3.3523,10.8894,7.6843
3,4.1139,8.1049,5.2155,2.8295,9.9532,7.3699
2,7.1081,1.6669,8.8193,4.5216,13.3750,10.8470
3,4.0813,7.7011,5.3624,2.7987,10.5179,7.3568
3,5.0876,7.2506,6.4412,2.6437,11.1786,7.6352
7,12.9947,7.9077,11.1772,3.8540,14.7446,7.0047
4,10.1719,9.8805,13.0521,1.9333,13.2223,6.0679
4,10.6361,9.8448,12.5232,1.8451,12.8315,6.1667
9,11.9045,7.2613,12.1423,3.8905,14.3686,7.3656
9,11.0490,9.3670,12.3959,2.0112,12.9224,6.2775
1,12.1143,2.2387,8.0667,7.6150,13.1807,11.9337
1,11.6038,2.7278,8.3889,7.3995,13.0053,11.8436
6,0.5768,2.4210,3.5871,6.1173,8.8317,10.4514
6,-0.6811,2.7161,2.5123,5.8412,7.9266,9.5243
2,7.9345,1.5621,9.1364,5.0563,13.7169,10.4399
7,13.1470,8.0700,11.0642,3.8608,14.6975,7.0551
6,-0.4473,2.5489,2.5036,5.8592,8.0052,9.6461
4,12.6495,2.3021,8.4181,7.8666,12.7658,12.1592
5,4.2861,8.2003,5.0829,2.7670,10.4423,7.1918
1,13.3381,0.2261,9.2329,9.2825,11.3804,11.9685
1,12.2366,1.8857,8.0545,7.8214,12.7066,12.2639
1,11.0394,2.5616,7.7446,7.0175,12.9791,11.4799
9,13.2662,6.1223,11.6917,5.2290,15.1612,8.5183
4,11.2514,6.1870,12.7084,4.9492,14.3406,8.2895
8,5.6663,5.0056,7.4070,4.3004,11.7266,8.9826
0,0.0185,5.8585,2.7238,3.3676,8.4368,7.9101
2,2.7471,4.0191,9.8579,5.8715,13.9430,9.6371
8,6.6932,4.7422,7.2604,5.1605,12.2119,9.7868
1,11.3319,1.9589,7.8554,7.2887,13.1095,11.9026
3,3.5134,7.3337,5.8722,2.8454,10.6452,7.5979
9,9.8923,9.7943,13.0842,1.7760,13.4478,5.7149
9,11.8529,7.9434,12.0301,3.4176,13.9976,6.9702
6,1.5863,1.7952,4.3191,6.6825,9.5115,10.7697
8,12.3230,2.2216,8.1880,7.7390,12.7241,12.2447
7,12.5693,7.6678,11.3111,3.8737,14.6682,7.1572
7,12.9028,8.5595,11.1243,3.1778,14.4541,6.7529
9,10.5312,8.4935,12.7439,2.8206,13.1444,6.8643
1,12.7747,1.7488,8.4010,8.1635,12.5604,12.3393
7,13.1615,7.2635,11.2759,4.2828,14.9728,7.6646
5,3.6478,3.7109,6.2846,6.3965,11.0654,10.6538
9,12.0845,7.2560,12.0038,3.9093,14.0613,7.4900
3,5.2034,8.0922,6.1054,2.3238,11.1827,7.2274
3,4.1498,6.8964,5.7206,3.1858,10.7134,7.8581
5,4.2133,8.3207,5.1712,2.4990,10.4762,6.9903
0,0.6777,5.2240,3.2933,4.0225,8.8731,8.5333
7,12.3286,5.4284,11.5095,4.8574,15.0123,8.2882
2,10.3082,2.3321,8.8549,6.6336,12.3066,11.2017
0,-0.6771,5.7343,2.1648,3.4937,8.0314,7.8239
9,11.2187,9.2893,12.2532,2.2369,12.9267,6.5354
4,11.8378,5.9187,12.1260,5.2483,14.8077,8.6009
5,3.6423,3.7389,6.1967,6.2993,11.1045,10.6184
9,11.3041,8.9022,12.4309,2.2489,13.1169,6.4350
1,12.1825,2.7943,8.4956,7.8583,12.6869,12.2853
2,6.7567,1.6838,8.7398,4.5638,13.4592,10.9490
2,6.6976,1.7292,8.5781,4.4131,13.2396,11.0644
7,12.9727,8.5776,11.1272,3.1723,14.5198,6.6729
8,7.0485,4.4058,7.1285,5.0631,12.3366,9.7295
2,10.3409,2.3459,8.8174,6.6764,12.2309,11.2422
7,13.6456,6.5116,11.0133,4.7718,15.4432,7.8826
7,12.7961,8.4011,11.3755,3.4170,14.4671,6.9521
3,2.3770,4.1851,4.4450,4.6768,9.9413,9.4296
4,11.1658,6.1354,12.7413,4.8658,14.7161,8.2561
5,4.2581,6.6925,5.3802,3.4821,10.6549,8.0287
7,13.6232,6.1845,11.1006,5.1068,15.4251,8.3117
2,9.5281,1.9624,8.6162,6.5987,12.9279,11.2589
1,12.8711,1.7332,8.3510,8.2883,12.3119,12.3701
1,11.3660,2.1688,7.9517,7.2829,13.0825,11.9216
6,-0.4832,2.5497,2.3986,5.7412,7.8764,9.4834
8,6.5180,6.5387,7.4253,3.4945,11.8840,8.6369
0,0.4831,5.3632,3.1427,3.8763,8.7374,8.2439
6,2.0673,2.0992,4.4128,6.4567,9.5352,10.6583
0,0.5766,5.4833,3.0683,3.6798,8.5612,8.1426
5,4.0518,5.7454,5.4795,4.2210,10.3513,8.9502
5,3.9269,3.5979,6.6949,6.5761,11.7478,11.1942
6,3.1750,3.3929,5.5749,6.0758,10.5374,10.3831
9,11.1690,9.0428,12.4195,2.0669,13.0781,6.3272
9,11.8284,7.2931,12.1799,3.7728,13.9700,7.4814
9,11.9522,7.6200,12.0859,3.5860,14.0045,7.3382
9,11.3396,8.8165,12.4480,2.3890,13.2121,6.5187
3,12.7285,7.3943,11.1540,4.0475,11.3314,9.9654
9,12.5818,5.8943,11.7650,5.4120,15.0314,8.6901
9,12.4854,7.3339,11.6961,3.8956,13.8960,7.4075
7,13.1353,7.9410,11.1235,3.9765,14.7704,7.1945
