idx,label,parity,recon_error
211,7,odd,0.032025866
212,2,even,0.026035236
213,3,odd,0.04378054
214,7,odd,0.033992417
215,2,even,0.029890085
216,2,even,0.025924962
217,2,even,0.029065078
218,3,odd,0.04632931
219,1,odd,0.022125777
220,2,even,0.036322977
221,9,odd,0.035626143
222,4,even,0.033556398
223,1,odd,0.02207169
224,4,even,0.024282748
225,6,even,0.025065636
226,8,even,0.038248718
227,4,even,0.025731962
228,5,odd,0.044603154
229,2,even,0.021964086
230,5,odd,0.03660626
231,0,even,0.010339713
232,7,odd,0.044430435
233,9,odd,0.031551898
234,1,odd,0.016465854
235,3,odd,0.046559576
236,3,odd,0.024272373
237,4,even,0.028533386
238,2,even,0.019987298
239,0,even,0.028186414
240,4,even,0.018183649
241,2,even,0.027532874
242,0,even,0.022454932
243,5,odd,0.055695057
244,3,odd,0.042017635
245,5,odd,0.05665633
246,1,odd,0.025045132
247,9,odd,0.058857817
248,0,even,0.016713
249,0,even,0.02529726
250,7,odd,0.02765906
251,7,odd,0.031971317
252,6,even,0.03253732
253,8,even,0.026221998
254,8,even,0.036542114
255,7,odd,0.05617061
256,0,even,0.032890685
257,2,even,0.03676041
258,7,odd,0.058159586
259,1,odd,0.015188374
260,0,even,0.03651998
261,2,even,0.027380178
262,2,even,0.03645952
263,9,odd,0.03861753
264,4,even,0.035443354
265,6,even,0.02016105
266,5,odd,0.034584697
267,8,even,0.023849638
268,2,even,0.043942064
269,5,odd,0.044108674
270,2,even,0.02748116
271,6,even,0.03390435
272,9,odd,0.031511083
273,8,even,0.031694684
274,5,odd,0.048160143
275,7,odd,0.04071606
276,0,even,0.03475292
277,7,odd,0.056069575
278,0,even,0.015758611
279,6,even,0.026095146
280,5,odd,0.04176413
281,4,even,0.022293646
282,5,odd,0.025695095
283,2,even,0.05574923
284,9,odd,0.017319646
285,3,odd,0.047811877
286,9,odd,0.03762663
287,5,odd,0.039374664
288,1,odd,0.027455462
289,3,odd,0.044039287
290,3,odd,0.057652436
291,7,odd,0.0420421
292,0,even,0.020386098
293,6,even,0.0142761
294,6,even,0.048568364
295,3,odd,0.0580905
296,0,even,0.028624844
297,5,odd,0.03685791
298,9,odd,0.03819884
299,4,even,0.026789706
300,8,even,0.034881867
301,9,odd,0.020955198
302,9,odd,0.033236347
303,9,odd,0.052375767
304,5,odd,0.055157185
305,5,odd,0.04161192
306,0,even,0.024125474
307,8,even,0.022778004
308,3,odd,0.07400636
309,2,even,0.040687047
310,2,even,0.04533142
311,3,odd,0.058479194
312,6,even,0.028675789
313,7,odd,0.06248077
314,9,odd,0.025991542
315,8,even,0.0365952
316,6,even,0.030344138
317,3,odd,0.040099237
318,8,even,0.024719073
319,2,even,0.013043452
320,7,odd,0.032021333
321,5,odd,0.04953215
322,6,even,0.011911551
323,4,even,0.03173806
324,1,odd,0.022421855
325,0,even,0.015566699
326,1,odd,0.02364769
327,1,odd,0.016913276
328,6,even,0.016969647
329,9,odd,0.020850979
330,8,even,0.038415693
331,1,odd,0.020302322
332,4,even,0.026702438
333,8,even,0.041088313
334,5,odd,0.03804078
335,0,even,0.02110433
336,5,odd,0.04830125
337,8,even,0.02427737
338,7,odd,0.0367134
339,6,even,0.030379336
340,1,odd,0.016458351
341,6,even,0.029474156
342,2,even,0.057369586
343,1,odd,0.036370635
344,5,odd,0.052893404
345,9,odd,0.025888048
346,1,odd,0.0251778
347,7,odd,0.026036438
348,0,even,0.015496207
349,3,odd,0.051975805
350,3,odd,0.037053294
351,7,odd,0.035498615
352,5,odd,0.05783332
353,6,even,0.0278212
354,6,even,0.030617587
355,7,odd,0.027072722
356,0,even,0.021639934
357,5,odd,0.033247326
358,0,even,0.016264914
359,4,even,0.033282094
360,1,odd,0.03733699
361,2,even,0.04347911
362,5,odd,0.048618257
363,5,odd,0.042297494
364,9,odd,0.013772518
365,4,even,0.02105774
366,5,odd,0.051248364
367,1,odd,0.019211985
368,9,odd,0.03737876
369,0,even,0.020763284
370,2,even,0.023769943
371,9,odd,0.026221657
372,9,odd,0.029409194
373,8,even,0.021410553
374,4,even,0.024736661
375,5,odd,0.052106995
376,5,odd,0.041867845
377,1,odd,0.026232865
378,4,even,0.025368689
379,1,odd,0.019057399
380,8,even,0.061125934
381,8,even,0.030746795
382,8,even,0.016979132
383,6,even,0.046279334
384,5,odd,0.0306389
385,1,odd,0.020242108
386,8,even,0.038585152
387,9,odd,0.035986707
388,8,even,0.035774797
389,4,even,0.038612507
390,8,even,0.033208065
391,9,odd,0.028797537
392,3,odd,0.057181552
393,1,odd,0.014916345
394,3,odd,0.05312972
395,2,even,0.035526186
396,9,odd,0.045882292
397,4,even,0.019550059
398,5,odd,0.05786453
399,0,even,0.018544197
400,8,even,0.029206611
401,3,odd,0.06711213
402,7,odd,0.033675097
403,8,even,0.02471172
404,5,odd,0.040432267
405,4,even,0.026885122
406,8,even,0.019401224
407,6,even,0.01548355
408,7,odd,0.026398614
409,0,even,0.009791089
410,7,odd,0.03942841
411,4,even,0.023983926
412,4,even,0.038768344
413,1,odd,0.02087857
414,1,odd,0.034718443
415,0,even,0.019297596
416,1,odd,0.024057085
417,5,odd,0.039099544
418,0,even,0.023721829
419,8,even,0.025632864
420,1,odd,0.027497062
421,1,odd,0.017334396
422,2,even,0.045909453
423,3,odd,0.038007654
424,0,even,0.012982456
425,4,even,0.025601348
426,6,even,0.03656126
427,1,odd,0.027042232
428,3,odd,0.040293243
429,1,odd,0.013773028
430,2,even,0.04069807
431,6,even,0.024359489
432,6,even,0.026383854
433,8,even,0.022651173
434,6,even,0.024199659
435,3,odd,0.036785573
436,9,odd,0.015522623
437,7,odd,0.036312234
438,1,odd,0.023909083
439,3,odd,0.038852815
440,9,odd,0.025276063
441,1,odd,0.014297344
442,0,even,0.013398388
443,5,odd,0.061490886
444,3,odd,0.037330806
445,9,odd,0.029035384
446,3,odd,0.037775554
447,3,odd,0.03672258
448,4,even,0.03059508
449,3,odd,0.026507033
450,9,odd,0.023452315
451,2,even,0.027584674
452,1,odd,0.02399114
453,7,odd,0.037760377
454,9,odd,0.031840485
455,1,odd,0.030313022
456,2,even,0.03266706
457,7,odd,0.04404969
458,3,odd,0.038640495
459,6,even,0.0390942
460,8,even,0.013874828
461,7,odd,0.05441632
462,1,odd,0.019928612
463,4,even,0.037035286
464,6,even,0.022576433
465,9,odd,0.019633189
466,2,even,0.030132253
467,5,odd,0.05702341
468,7,odd,0.048558332
469,6,even,0.027056986
470,5,odd,0.035857014
471,9,odd,0.02805958
472,3,odd,0.03568346
473,2,even,0.021785444
474,7,odd,0.021055859
475,8,even,0.036388673
476,5,odd,0.05816859
477,6,even,0.02524179
478,4,even,0.026186926
479,7,odd,0.039312113
480,5,odd,0.034218453
481,1,odd,0.01757467
482,5,odd,0.048726417
483,8,even,0.024531199
484,5,odd,0.035994053
485,8,even,0.03112736
486,7,odd,0.048657097
487,2,even,0.02659185
488,9,odd,0.022138866
489,8,even,0.033884853
490,4,even,0.03875116
491,7,odd,0.022581087
492,5,odd,0.030122845
493,4,even,0.022281239
494,6,even,0.025130432
495,2,even,0.03381708
496,1,odd,0.031931236
497,3,odd,0.07002531
498,9,odd,0.03070786
499,7,odd,0.035459533
500,9,odd,0.029685134
501,3,odd,0.043220684
502,5,odd,0.025465263
503,5,odd,0.039124057
504,8,even,0.02856037
505,8,even,0.0312904
506,3,odd,0.043773636
507,9,odd,0.02677844
508,8,even,0.03039817
509,4,even,0.03402903
510,5,odd,0.04268662
511,9,odd,0.027666913
512,7,odd,0.038625915
513,8,even,0.042096246
514,3,odd,0.038214203
515,6,even,0.023058064
516,0,even,0.0104706045
517,1,odd,0.017207013
518,6,even,0.027459344
519,7,odd,0.02715829
520,2,even,0.02389921
521,0,even,0.013237938
522,6,even,0.022023365
523,2,even,0.0329936
524,9,odd,0.028304042
525,1,odd,0.01686582
526,3,odd,0.0434628
527,8,even,0.060797643
528,6,even,0.03732462
529,9,odd,0.033975568
530,4,even,0.038690083
531,7,odd,0.041731533
532,7,odd,0.07018613
533,3,odd,0.025539607
534,7,odd,0.032526173
535,6,even,0.026587646
536,3,odd,0.036579248
537,4,even,0.039447486
538,3,odd,0.042818177
539,9,odd,0.019139657
540,9,odd,0.022115853
541,9,odd,0.030033763
542,7,odd,0.04649428
543,1,odd,0.016755054
544,9,odd,0.024403287
545,9,odd,0.027711501
546,7,odd,0.03477702
547,0,even,0.014701886
548,3,odd,0.038127307
549,4,even,0.026409578
550,2,even,0.034763116
551,0,even,0.0224449
552,3,odd,0.033951815
553,5,odd,0.045628518
554,6,even,0.022787532
555,9,odd,0.027202724
556,8,even,0.022016225
557,0,even,0.018197965
558,5,odd,0.026556863
559,2,even,0.044340122
560,2,even,0.031580113
561,5,odd,0.048443608
562,7,odd,0.045388598
563,7,odd,0.03780827
564,5,odd,0.037631053
565,1,odd,0.021713091
566,3,odd,0.048435748
567,8,even,0.03381545
568,4,even,0.02200598
569,3,odd,0.051318135
570,4,even,0.047224857
571,3,odd,0.05475305
572,1,odd,0.023807945
573,7,odd,0.055824913
574,8,even,0.021412209
575,2,even,0.034485698
576,9,odd,0.03073959
577,7,odd,0.028336762
578,5,odd,0.046715245
579,4,even,0.047571596
580,1,odd,0.014397964
581,1,odd,0.02039012
582,0,even,0.02340378
583,9,odd,0.030249463
584,1,odd,0.016049184
585,8,even,0.06042786
586,7,odd,0.033445958
587,6,even,0.03717806
588,3,odd,0.058431838
589,9,odd,0.033618335
590,2,even,0.040902488
591,6,even,0.02168401
592,8,even,0.04542193
593,9,odd,0.028473407
594,5,odd,0.05091542
595,9,odd,0.029496524
596,5,odd,0.026002057
597,7,odd,0.054027162
598,7,odd,0.03494627
599,2,even,0.031569332
600,4,even,0.034713585
601,6,even,0.034594357
602,7,odd,0.045950934
603,7,odd,0.043481477
604,3,odd,0.05053306
605,8,even,0.0245018
606,3,odd,0.040094025
607,3,odd,0.04948376
608,6,even,0.014424078
609,8,even,0.025964135
610,2,even,0.035474855
611,6,even,0.02878599
612,1,odd,0.036932763
613,9,odd,0.025921013
614,3,odd,0.039350152
615,8,even,0.03534351
616,0,even,0.032676667
617,3,odd,0.051972926
618,5,odd,0.058405437
619,0,even,0.039276846
620,8,even,0.023783343
621,6,even,0.02069358
622,6,even,0.037713833
623,9,odd,0.028458288
624,2,even,0.046558846
625,5,odd,0.054297436
626,3,odd,0.03879555
627,0,even,0.033952687
628,7,odd,0.043559905
629,2,even,0.03389963
630,5,odd,0.06027858
631,7,odd,0.039754603
632,8,even,0.037569277
633,5,odd,0.049067408
634,2,even,0.037926953
635,7,odd,0.039358597
636,2,even,0.026452174
637,6,even,0.03025283
638,9,odd,0.027912948
639,3,odd,0.04177003
640,0,even,0.03368214
641,3,odd,0.055945266
642,9,odd,0.028889894
643,3,odd,0.036943197
644,9,odd,0.03482446
645,4,even,0.026122214
646,9,odd,0.024907438
647,3,odd,0.052516732
648,6,even,0.0141810365
649,8,even,0.041111547
650,0,even,0.0368144
651,9,odd,0.029443566
652,2,even,0.02301202
653,8,even,0.047460195
654,3,odd,0.045154124
655,1,odd,0.029075433
656,6,even,0.03170739
657,6,even,0.017604342
658,9,odd,0.04354148
659,6,even,0.019381389
660,0,even,0.012964637
661,7,odd,0.042257495
662,5,odd,0.032944128
663,4,even,0.018048562
664,4,even,0.029842367
665,0,even,0.035746526
666,8,even,0.03818603
667,5,odd,0.037705082
668,5,odd,0.04255113
669,0,even,0.021682307
670,7,odd,0.0436393
671,4,even,0.03785616
672,0,even,0.03787157
673,2,even,0.04228792
674,3,odd,0.03272692
675,4,even,0.02784205
676,6,even,0.022947205
677,5,odd,0.051458146
678,2,even,0.026856685
679,9,odd,0.028445214
680,6,even,0.03701154
681,1,odd,0.017785234
682,1,odd,0.032492146
683,0,even,0.04426939
684,3,odd,0.047626078
685,1,odd,0.023721097
686,7,odd,0.029201478
687,7,odd,0.035973378
688,0,even,0.014774998
689,1,odd,0.021954926
690,0,even,0.015938625
691,4,even,0.024166645
692,6,even,0.030737385
693,8,even,0.03694502
694,5,odd,0.049541876
695,3,odd,0.029013569
696,1,odd,0.023077369
697,3,odd,0.057249486
698,4,even,0.029409518
699,5,odd,0.076833874
700,0,even,0.030472128
701,5,odd,0.04434754
702,3,odd,0.033944655
703,5,odd,0.05951602
704,4,even,0.023398492
705,4,even,0.032800354
706,9,odd,0.0360578
707,4,even,0.018802354
708,6,even,0.021871246
709,5,odd,0.041217364
710,0,even,0.03754125
711,5,odd,0.047776304
712,4,even,0.023457693
713,2,even,0.02515432
714,8,even,0.02706553
715,7,odd,0.035793476
716,1,odd,0.0205695
717,1,odd,0.013200628
718,3,odd,0.026194908
719,5,odd,0.056682542
720,8,even,0.018021267
721,3,odd,0.046672218
722,0,even,0.014735568
723,4,even,0.028887613
724,0,even,0.03722153
725,0,even,0.02237077
726,6,even,0.0232906
727,6,even,0.010557428
728,5,odd,0.04681341
729,7,odd,0.027446114
730,2,even,0.050862752
731,2,even,0.03053975
732,8,even,0.031807333
733,0,even,0.014477731
734,2,even,0.025039818
735,2,even,0.0253119
736,1,odd,0.024978638
737,8,even,0.03626295
738,9,odd,0.027103767
739,0,even,0.014516721
740,1,odd,0.023648398
741,7,odd,0.041799508
742,3,odd,0.05592489
743,2,even,0.02806814
744,7,odd,0.026724957
745,9,odd,0.022190295
746,0,even,0.019792913
747,7,odd,0.049615625
748,0,even,0.022731844
749,2,even,0.041078255
750,3,odd,0.046869308
751,3,odd,0.03152257
752,4,even,0.023679256
753,9,odd,0.024947794
754,5,odd,0.041469935
755,5,odd,0.026239388
756,5,odd,0.05306783
757,0,even,0.016715057
758,9,odd,0.024779966
759,9,odd,0.034956846
760,4,even,0.021033216
761,8,even,0.051808935
762,7,odd,0.032403037
763,0,even,0.02803905
764,5,odd,0.056922548
765,7,odd,0.02706918
766,4,even,0.02897737
767,8,even,0.045631267
768,3,odd,0.05737278
769,1,odd,0.018269857
770,4,even,0.048480276
771,9,odd,0.026340732
772,2,even,0.024897708
773,9,odd,0.05407646
774,9,odd,0.0276964
775,8,even,0.028146751
776,9,odd,0.030912628
777,2,even,0.032880932
778,9,odd,0.035222337
779,6,even,0.02280809
780,8,even,0.031051185
781,6,even,0.022535013
782,3,odd,0.058815878
783,0,even,0.024122734
784,2,even,0.041178014
785,1,odd,0.019353732
786,2,even,0.051364522
787,5,odd,0.06224246
788,0,even,0.017493643
789,2,even,0.029929934
790,8,even,0.03185758
791,8,even,0.02756351
792,2,even,0.031888183
793,3,odd,0.05612476
794,5,odd,0.054464955
795,7,odd,0.017555874
796,9,odd,0.029678227
797,0,even,0.017377092
798,2,even,0.031575684
799,1,odd,0.023767848
800,9,odd,0.049980026
801,5,odd,0.046793886
802,3,odd,0.035316817
803,8,even,0.026523303
804,2,even,0.03387457
805,0,even,0.020419868
806,3,odd,0.04509305
807,6,even,0.023791552
808,6,even,0.020282917
809,6,even,0.050427403
810,0,even,0.019418802
811,4,even,0.017574877
812,7,odd,0.03412
813,2,even,0.028908394
814,6,even,0.012028183
815,0,even,0.015428419
816,4,even,0.015160472
817,1,odd,0.02597541
818,6,even,0.02780636
819,8,even,0.029967705
820,6,even,0.029419575
821,7,odd,0.02501948
822,3,odd,0.03414787
823,9,odd,0.03279397
824,1,odd,0.01321292
825,2,even,0.025613477
826,2,even,0.03272676
827,9,odd,0.025835201
828,5,odd,0.034830082
829,4,even,0.030491859
830,2,even,0.02413581
831,2,even,0.03202469
832,5,odd,0.046474468
833,3,odd,0.0365742
834,3,odd,0.04694018
835,9,odd,0.02186291
836,6,even,0.02642617
837,5,odd,0.036625475
838,1,odd,0.02926135
839,6,even,0.033340786
840,7,odd,0.035628777
841,6,even,0.042583432
842,3,odd,0.046433683
843,4,even,0.027590638
844,8,even,0.014152166
845,4,even,0.019186327
846,6,even,0.021091813
847,0,even,0.0205662
848,0,even,0.031609155
849,2,even,0.030189417
850,7,odd,0.037997082
851,9,odd,0.02436046
852,8,even,0.027065564
853,7,odd,0.021686826
854,6,even,0.04653397
855,8,even,0.030662123
856,9,odd,0.042817228
857,1,odd,0.016609516
858,2,even,0.049589314
859,8,even,0.036088087
860,2,even,0.035002455
861,2,even,0.020524489
862,0,even,0.022570048
863,8,even,0.049478993
864,5,odd,0.049360264
865,6,even,0.03618554
866,8,even,0.024869272
867,7,odd,0.058489613
868,8,even,0.027095614
869,0,even,0.036318433
870,1,odd,0.022885125
871,0,even,0.044247676
872,2,even,0.023939516
873,4,even,0.024404107
874,8,even,0.02782376
875,6,even,0.033318173
876,7,odd,0.053772226
877,1,odd,0.035431374
878,3,odd,0.050077293
879,9,odd,0.03687643
880,8,even,0.03250238
881,2,even,0.039302796
882,0,even,0.020459518
883,2,even,0.027992511
884,1,odd,0.016135773
885,1,odd,0.019999605
886,8,even,0.042586703
887,9,odd,0.034327105
888,7,odd,0.04878702
889,3,odd,0.025188206
890,6,even,0.027137361
891,2,even,0.016471623
892,3,odd,0.041224767
893,6,even,0.01791412
894,4,even,0.020593744
895,3,odd,0.040384058
896,6,even,0.03330903
897,1,odd,0.0265321
898,3,odd,0.023834536
899,3,odd,0.05489146
900,0,even,0.04334876
901,8,even,0.021725856
902,9,odd,0.04069773
903,8,even,0.028698951
904,0,even,0.013785766
905,3,odd,0.0507411
906,7,odd,0.029799141
907,1,odd,0.019910485
908,6,even,0.03995795
909,8,even,0.028885307
910,9,odd,0.028511185
911,4,even,0.023036435
912,2,even,0.03826788
913,9,odd,0.03376449
914,3,odd,0.04785642
915,5,odd,0.03446452
916,6,even,0.056987967
917,7,odd,0.05438171
918,6,even,0.018393632
919,1,odd,0.02458694
920,6,even,0.028513957
921,4,even,0.025771126
922,8,even,0.025642378
923,6,even,0.029432477
924,2,even,0.029459285
925,8,even,0.028931325
926,1,odd,0.02122372
927,5,odd,0.045787606
928,3,odd,0.031980973
929,6,even,0.038813546
930,1,odd,0.021040848
931,2,even,0.034874517
932,6,even,0.023413852
933,2,even,0.03821388
934,2,even,0.042568497
935,7,odd,0.042752277
936,2,even,0.030800723
937,7,odd,0.02654021
938,8,even,0.02529572
939,6,even,0.025000114
940,1,odd,0.017094718
941,9,odd,0.02825179
942,7,odd,0.020089913
943,1,odd,0.023041481
944,2,even,0.037117828
945,8,even,0.034885067
946,2,even,0.020807536
947,1,odd,0.013899517
948,4,even,0.018160185
949,8,even,0.023758525
950,6,even,0.03222485
951,6,even,0.045939535
952,7,odd,0.03640749
953,5,odd,0.07167397
954,7,odd,0.028113559
955,9,odd,0.035808172
956,5,odd,0.059840675
957,0,even,0.016899377
958,8,even,0.03213994
959,4,even,0.02278338
960,0,even,0.041239962
961,7,odd,0.03784007
962,3,odd,0.044101257
963,6,even,0.020729883
964,1,odd,0.015612828
965,7,odd,0.03776271
966,1,odd,0.03531313
967,7,odd,0.029834423
968,6,even,0.026028933
969,2,even,0.022718852
970,3,odd,0.036620192
971,5,odd,0.049130235
972,5,odd,0.03629888
973,7,odd,0.044823784
974,7,odd,0.030596612
975,4,even,0.035869144
976,8,even,0.018260077
977,1,odd,0.017731987
978,9,odd,0.036149636
979,7,odd,0.02868244
980,1,odd,0.032157034
981,8,even,0.027153272
982,3,odd,0.058357235
983,6,even,0.022178913
984,2,even,0.03391109
985,0,even,0.019479226
986,5,odd,0.059322678
987,4,even,0.033675633
988,0,even,0.018911432
989,2,even,0.022135219
990,1,odd,0.020679323
991,8,even,0.03781034
992,8,even,0.022184208
993,9,odd,0.04929506
994,9,odd,0.041216347
995,6,even,0.03847146
996,2,even,0.02960255
997,2,even,0.024375223
998,7,odd,0.019281592
999,1,odd,0.026494011
1000,7,odd,0.047663733
1001,4,even,0.027850827
1002,3,odd,0.041304126
1003,1,odd,0.0164449
1004,0,even,0.016100938
1005,5,odd,0.04804123
1006,5,odd,0.053417712
1007,8,even,0.027172
1008,9,odd,0.034208518
1009,0,even,0.014680986
1010,6,even,0.031421136
1011,9,odd,0.02465062
1012,7,odd,0.0450473
1013,0,even,0.015065353
1014,4,even,0.027987106
1015,3,odd,0.038492624
1016,2,even,0.025224686
1017,3,odd,0.04079836
1018,4,even,0.018728275
1019,9,odd,0.03132583
1020,3,odd,0.047031865
1021,1,odd,0.033384964
1022,5,odd,0.05363924
1023,1,odd,0.03668594
1024,7,odd,0.04180211
1025,9,odd,0.039335996
1026,4,even,0.019508792
1027,3,odd,0.04728606
1028,6,even,0.019764135
1029,9,odd,0.028049683
1030,0,even,0.017193245
1031,3,odd,0.050415676
1032,7,odd,0.05052794
1033,9,odd,0.02957631
1034,5,odd,0.025965566
1035,3,odd,0.062352948
1036,3,odd,0.027924825
1037,5,odd,0.04080829
1038,1,odd,0.020593049
1039,9,odd,0.04116351
1040,5,odd,0.0369352
1041,1,odd,0.014554061
1042,4,even,0.035603162
1043,3,odd,0.055399947
1044,1,odd,0.015912965
1045,5,odd,0.044976614
1046,8,even,0.035273373
1047,4,even,0.0078157615
1048,6,even,0.01649973
1049,5,odd,0.044137206
1050,0,even,0.04116735
1051,5,odd,0.057681978
1052,3,odd,0.044506162
1053,7,odd,0.062857665
1054,1,odd,0.019432591
1055,6,even,0.026929798
1056,8,even,0.027720332
1057,2,even,0.05123305
1058,7,odd,0.032816358
1059,0,even,0.032551974
1060,8,even,0.0216334
1061,9,odd,0.02858577
1062,2,even,0.04241021
1063,3,odd,0.055737585
1064,5,odd,0.07723427
1065,8,even,0.025129342
1066,3,odd,0.053544253
1067,2,even,0.05427929
1068,1,odd,0.021328125
1069,2,even,0.030636681
1070,1,odd,0.020109694
1071,5,odd,0.06837412
1072,9,odd,0.044559672
1073,9,odd,0.02304972
1074,6,even,0.026718674
1075,3,odd,0.032379262
1076,7,odd,0.046035923
1077,5,odd,0.038927354
1078,2,even,0.042849492
1079,5,odd,0.047309488
1080,6,even,0.020780087
1081,5,odd,0.04165155
1082,5,odd,0.05340416
1083,3,odd,0.03602779
1084,6,even,0.031284176
1085,5,odd,0.042762704
1086,0,even,0.029048156
1087,1,odd,0.025340956
1088,3,odd,0.023900764
1089,4,even,0.025370948
1090,9,odd,0.033560924
1091,4,even,0.024271872
1092,4,even,0.022087354
1093,9,odd,0.060675483
1094,2,even,0.031427793
1095,3,odd,0.047952916
1096,9,odd,0.021095393
1097,1,odd,0.015205472
1098,7,odd,0.07253778
1099,7,odd,0.049786087
1100,0,even,0.032200005
1101,1,odd,0.011528683
1102,4,even,0.033294905
1103,6,even,0.03638552
1104,4,even,0.016713839
1105,7,odd,0.05278063
1106,1,odd,0.02393999
