idx,label,parity,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15
25,7,odd,-0.101315975,-0.5952817,-0.08632684,-1.4041927,-0.243444,-0.1972639,-0.96991056,-0.20641863,1.0650219,-1.4168829,0.019121721,0.42454195,0.122568734,0.65226656,1.3397367,-0.58978814
26,7,odd,0.16876394,-0.79486454,0.14793417,-0.9807823,0.23351821,0.40577513,-1.1258771,0.3460424,0.84069765,-1.8997586,-0.1585241,0.4864031,0.008332114,1.583393,0.61253023,-0.14335966
27,6,even,-0.97220224,-0.38822764,0.18102263,0.21584605,-0.97746396,-0.15617913,0.7529241,-1.1531119,0.02854801,0.1871606,0.9192537,0.82449293,0.088469446,-1.3376496,-1.0449487,0.7966467
28,1,odd,1.5413945,-1.6609609,-0.08427355,1.0820786,0.37493232,-0.34155092,0.015619397,-0.11117396,-1.4943163,0.8749752,-0.10189718,0.027913839,0.8056569,-0.58537275,0.21064664,1.6214088
29,4,even,0.61100686,-0.73860097,-0.20979615,0.30273697,1.2146173,0.07672186,-0.81688786,-1.0451902,1.0474919,0.63432425,0.39456388,-0.21884406,-0.70448357,0.22522202,-1.843738,0.18333861
30,3,odd,0.30838364,-0.022812292,-0.062008776,0.007759031,-0.97935295,-0.06256206,-0.28707904,2.1886253,-0.49760976,-1.1365618,-0.18885231,0.61172664,-0.10346757,1.4053757,-1.3480262,0.74524266
31,3,odd,0.1861533,0.18580052,0.06616787,-0.055436812,-0.90926707,0.043106716,-0.8146503,1.3260155,-0.29838282,0.04326837,-0.31316593,0.7701827,0.19815257,1.414214,-1.7455603,0.72492796
32,9,odd,0.3031745,-1.3676906,-0.17791684,-1.0739217,-0.8666386,0.06238951,-0.056216344,-0.09926842,0.18987465,-0.6921664,-0.26021644,1.2207953,-0.3396875,0.65831274,0.13452692,0.52660346
33,5,odd,-0.57708967,-0.52239656,-0.22460361,1.2921805,-0.1886974,-0.28910744,-0.23156378,1.5308526,-0.8502845,0.46615976,-0.26298794,-0.26202995,-0.53265226,1.2939584,-0.84378606,-1.4602757
34,4,even,-1.6739659,-0.51724285,0.061932996,0.35224578,0.41527954,0.2806216,-1.4636889,-0.4405747,1.5806335,-1.5020875,-0.44978094,0.7351439,-0.72606224,-0.31621796,0.5149754,-1.3310398
35,7,odd,0.17656526,-0.5841608,0.13739562,-0.98463833,0.5141396,0.33933002,-1.1971476,-0.24093333,1.0391611,-1.6602602,-0.30716917,-0.40527987,0.93838483,1.1793346,1.1190022,-0.7081905
36,1,odd,0.3580066,-1.1344147,-0.07126133,-0.5011121,-0.5763216,0.067569986,0.013986237,-1.1678563,-0.63514274,-0.5904003,-0.068896584,0.93985176,-0.8572266,0.8727721,-0.48179066,0.5879128
37,7,odd,0.29386735,-1.0913154,0.029268645,-1.0814795,-0.055605568,0.28406513,-0.839398,0.32820392,0.2672457,-0.8734202,-0.15385497,0.8526274,-0.017974798,1.2843204,0.8792692,0.2808216
38,2,even,-0.22940631,-0.39020735,0.12887372,-0.028600805,1.9078012,-0.026968883,1.0379267,-0.711133,-0.75727916,1.5045074,0.49347404,0.028981984,0.037441384,-0.20051952,1.221903,-0.030104876
39,3,odd,0.52724946,1.0357955,-0.47351593,0.25085935,-0.15892822,-1.1603225,0.16236016,1.5854719,-1.6382889,-0.8455306,0.5116443,-0.7118366,1.0308657,0.7813062,-0.27792728,0.042135607
40,7,odd,-0.23754658,-0.60859144,0.08297684,-0.88324404,-0.5871554,0.034930166,-1.5867903,1.0241854,1.2829878,-1.8275017,-0.12241234,0.3963353,-0.082217686,1.1915749,1.1811851,-0.32827008
41,5,odd,0.277636,-1.1732016,-0.17502661,0.074169256,0.15384883,0.37507948,-0.60538316,0.15889826,0.019523554,0.42661458,-0.47067252,-0.84904647,-0.49414268,-0.066295505,0.43328828,-1.8814304
42,5,odd,0.15016164,-0.84735614,-0.24527408,0.78978014,-0.3733019,-0.2593613,-0.20629567,0.47790873,-0.14997467,0.6873567,0.15965295,0.41282174,-0.594781,1.5720228,-0.15914752,-1.4215624
43,3,odd,-0.6475217,0.8763857,-0.15540054,-1.1624198,-1.297643,-0.18788093,-0.110178694,1.6698892,-1.3095922,-1.9151474,0.10139989,-1.1367567,0.8601389,0.47489583,-0.394804,1.1131755
44,2,even,-0.7286747,-0.29049763,0.06817516,-0.22277828,1.3408439,0.035804447,0.2571213,0.8994804,0.109284215,0.54141647,0.21310332,-2.389881,-0.3737237,1.5588999,0.62876886,-0.19639954
45,8,even,-0.18270914,-0.50037324,-0.54453325,0.50689775,0.43478215,-1.0745744,0.15293686,0.7860299,-0.15824673,-0.021785071,1.2393823,-0.8187208,-2.0650244,0.1809926,-1.4361455,-1.3293558
46,6,even,1.2525198,-0.48493147,-0.24687572,0.13851613,1.889211,-0.0021803025,-0.65034914,-0.36391586,0.45354778,0.08526009,-0.15635768,-0.3572417,-1.642986,-1.0306582,-0.046568193,0.73237616
47,5,odd,-0.118058965,0.0016696155,0.014986657,-0.6645703,-0.34685278,0.22901085,-0.10720676,1.6225884,-0.21401057,-1.1524522,-0.8555609,0.008872181,1.4618096,0.6761084,-0.89169425,-0.7281537
48,2,even,-0.7689332,-0.26998854,-0.029771358,0.38898367,1.1062293,-0.047507502,0.6579379,0.94814485,-1.9422431,-0.2976034,0.105647005,0.8065001,0.39103898,-0.34612477,0.072463065,-0.26199356
49,2,even,-0.68354285,-0.535027,-0.16615924,0.12302357,1.891606,-0.6354352,0.27000183,0.9598184,-2.44836,-0.9828208,0.40620643,-0.94206643,1.0293702,0.25682268,0.83943945,1.3581007
50,1,odd,1.309328,-1.4832505,-0.10074259,-1.0381054,-1.0392064,0.14312838,-0.5724577,-0.7585006,-1.1826625,-0.43984005,-0.14763609,0.57448554,0.17817801,0.6236065,0.8176859,1.0765667
51,8,even,-1.4987371,-0.1468685,0.24746974,1.2533734,0.29211247,0.4381589,-2.4944203,0.3984304,0.31301332,-0.3454815,-0.7717342,-0.81854093,0.18238826,1.2830003,-0.022506028,-1.0915715
52,5,odd,-0.050429225,-1.159899,-0.3517354,0.5061684,-0.77068007,-0.49508643,1.2348709,0.37625748,0.070302986,-0.6394313,0.38480172,-0.3282047,-0.39050183,0.70260775,0.039928377,-0.56948954
53,6,even,0.662867,0.18108097,-0.36157614,1.3787671,-0.87712175,-0.9206511,0.63872963,0.78818125,0.512159,0.64699113,1.2853756,-1.1885644,-0.65184367,1.1362634,0.17534216,-0.14670962
54,2,even,-1.4086878,0.49757814,0.21008036,-0.03933334,1.3220555,0.5552667,1.0124106,0.41042143,0.028257675,-0.90208864,-1.045135,-0.37848508,1.2161254,-1.1443344,0.06551361,0.19868475
55,6,even,1.8892435,0.30240732,-0.1749739,1.0826466,-0.09134131,-0.57953453,0.8496827,1.5520885,-0.03332548,-0.38727164,0.8850145,-1.4082035,0.8351468,-0.5068235,-0.9322711,0.47526845
56,5,odd,1.0553215,-0.602596,-0.10066126,0.5426795,-0.88500226,0.22294265,-0.4990965,0.8655022,0.2824222,0.8642037,-0.02610823,0.73273313,-0.46340376,2.6261258,-0.55256134,-0.30183527
57,9,odd,0.12414227,-0.9546842,0.07299615,-0.36211312,-0.47751337,0.06423932,-0.7956097,0.24460721,1.4460032,-0.37504718,0.45219815,0.92675936,0.2895791,1.520433,0.06837052,-0.6423981
58,9,odd,0.6023498,-1.0020025,-0.115390554,0.9696518,0.14129639,0.08281621,-1.9155688,-0.9820911,0.4995312,0.6434698,-0.36013728,-1.1042142,0.83290464,0.90115905,-0.9603182,-0.17479971
59,8,even,-1.150037,-0.9506866,-0.11804806,1.5515168,-0.49087757,-0.5897346,1.3219168,1.6334236,-0.29475048,0.63232917,0.30200723,-1.0730343,0.061333563,-0.61108243,0.10160963,-0.5360697
60,7,odd,0.44854653,-0.72315186,0.039610267,-0.62917465,-0.10358035,0.09202282,-0.6671655,0.6152466,0.6178861,-1.1001874,-0.11647092,0.91342074,-0.12652202,1.7487191,0.7259144,0.18519753
61,4,even,-0.7287082,0.31669655,0.04736241,0.7433233,1.0972257,-0.20051627,0.18435295,1.1606612,0.739466,0.15023014,-0.088182755,1.9234025,-0.07931602,0.38896573,0.93174976,-0.09548668
62,6,even,-1.1328111,0.7044829,-0.19245642,0.67687285,-2.016923,-0.77081865,0.8623006,1.081135,0.43186724,0.48217797,1.2739797,-1.2592809,0.034534853,-0.20123632,-0.8196034,1.0128999
63,0,even,-1.0705756,0.84013265,0.3788367,-0.28594792,-1.4611243,0.73673046,0.34115645,1.3405848,0.023010202,-1.1003861,-0.96326405,1.1612475,0.3281664,-0.15150173,0.079753175,-1.3457193
64,9,odd,0.7211458,-1.6352922,-0.12661767,-1.1543595,-1.4957254,-0.23727031,-0.7969518,-0.3823821,-0.16914488,0.3045902,0.27507082,0.9591974,0.27193668,-0.6618152,0.697568,0.02222402
65,3,odd,0.39432967,0.7189058,-0.09476954,-0.14930245,-0.959183,-0.12204108,-0.106449336,1.0922306,-1.2023475,-1.0890522,0.26089084,0.25093934,0.34755662,0.5568291,-1.1108108,0.5702265
66,8,even,-1.2892432,-1.4628794,0.025035046,-0.25995392,-0.7511014,0.20977864,-0.39786717,-0.14556685,-0.7014582,-0.21273755,-0.028431375,-0.20968187,0.74907047,-0.8451552,-0.48033398,-1.6215676
67,8,even,-0.6061432,-0.56344604,0.12934327,0.031488776,-0.51994586,0.030571789,0.92951936,1.2313397,-0.28649968,-0.16594765,0.2436885,1.4515121,0.26673642,-0.6398807,-0.6998896,-0.49446335
68,4,even,-1.7803692,0.8577713,-0.30077565,1.2237265,0.9169112,-0.24832599,-1.9710302,0.9407808,1.3902797,-1.2428348,-0.04619516,1.1007341,-0.31058213,0.39620137,-0.97717756,-0.48494634
69,4,even,0.05842964,0.14584789,-0.08442104,-0.5630396,1.007952,0.031876717,-0.07168448,0.9971655,0.7173787,0.43734002,-0.010692887,1.4883776,0.14071417,1.2912749,0.93320984,1.3794487
70,6,even,-1.4069309,1.4214218,-0.15092961,0.05573392,-1.2413642,-0.119397864,0.4613033,-0.9168775,1.4564153,0.6365348,-0.26230237,-1.0118892,0.032369837,0.6894459,0.91628855,0.68412226
71,5,odd,1.9339532,-1.332192,-0.0764717,-0.25143796,0.9683535,-0.01711334,-0.77071464,-0.15212187,-0.21530062,-1.0422782,-0.0058115367,-0.23507404,-0.8311695,-0.8538593,0.1746739,0.39139408
72,3,odd,0.49583948,-0.11828898,-0.17053589,-0.69906914,-1.0880952,-0.085867494,0.657696,0.109537065,-0.44047514,-1.4393679,-0.28563884,0.39905247,0.5546079,0.97535026,-0.38182783,0.014446985
73,0,even,1.617801,0.50670975,-0.07225773,0.33993965,-0.6271887,0.031302463,0.095544145,-0.33100098,0.4590438,0.1858091,-0.34625176,-1.4730479,-0.18338296,-0.03197047,-0.13545236,-1.7778502
74,4,even,-1.0671977,0.27073956,0.064356245,0.4218115,0.11757261,0.15623891,-0.2683435,0.110449135,2.4872167,0.09951349,-0.096305855,0.31135216,-1.3139673,0.76029277,0.41922665,-1.0119609
75,4,even,-0.09811404,-0.17271847,0.05647182,-0.19798075,0.2700054,-0.16700451,-2.3424785,-1.4164464,0.7066365,-1.1417133,0.37995738,0.55873585,0.20042369,0.49496138,-0.21954373,-0.8616549
76,4,even,0.8299134,-1.1122344,-0.09714064,0.1603935,0.8545684,-0.16215426,0.10020807,-1.2894819,1.3247479,0.93488216,0.15056527,0.9058672,-0.0894182,-0.14770322,0.328772,-0.4354902
77,6,even,1.2434149,-0.24678236,0.114868484,0.3046436,-0.3161398,-0.053409785,0.5838219,-0.2658194,1.2063519,0.72377414,0.5511056,-1.7278605,0.6556315,-1.0089635,-1.062817,1.277081
78,0,even,-0.23039736,0.41710705,0.42595536,-1.0929687,-1.4231137,0.810559,0.09518023,0.8620437,-0.8127259,-0.17343357,-0.974067,1.3074472,0.006116761,0.06967859,-0.764403,-0.6079473
79,3,odd,-1.8032537,0.9166693,-0.09227632,-0.7635658,0.65710384,-0.5557248,-0.38139474,1.9829402,-0.64054924,-0.6531498,0.3431999,-1.5619907,1.7845069,0.17646053,0.3703915,0.041643716
80,1,odd,0.7803203,-1.3978406,-0.2733518,-1.2193811,-0.7271339,-0.25240734,-0.45240986,-0.746995,-1.0954217,-0.68209636,0.11688634,0.46754128,0.18186615,0.4530617,0.97471625,1.472738
81,9,odd,0.30312797,-1.8603406,0.11277228,0.37054923,0.8146081,0.19808555,-1.2419932,-1.0429616,0.47557694,0.38409102,-0.13582453,-0.44080824,1.066609,0.77203095,-0.66843414,0.11182609
82,5,odd,-1.0264208,0.34205815,0.19686854,1.5417788,-0.28702784,0.33873484,-0.91283804,1.642062,-0.84734905,0.26178542,-0.082204305,0.8755254,-0.66668355,1.8468903,-0.8520613,0.1544945
83,4,even,-1.0902321,-0.38005227,-0.24389465,-0.051006153,0.21970873,-0.40535116,-0.34789184,-0.044482857,0.634233,-1.5869824,0.31980732,1.576274,0.37987688,0.38689634,-1.2714376,0.43446746
84,4,even,0.2313653,-1.0061984,-0.1255407,0.50659496,0.7612601,-0.09113989,-0.07908155,-0.4282816,2.3922946,-0.0793852,0.08793917,0.40637302,-1.375509,0.4746313,0.6804122,-0.81671387
85,8,even,-0.5004145,-0.95357215,0.18331672,-0.1452984,-0.9073106,0.13383944,-2.6284196,2.0828888,0.8762283,0.82249516,0.6155563,-0.55283993,-0.8716147,-0.3150186,1.4189528,-0.09060589
86,0,even,-0.123573616,1.3129264,0.15451275,-0.825195,-1.5188364,0.50784266,1.0901842,1.0574703,-0.3429828,-0.9406309,-0.12999195,-0.78246105,0.5183445,-0.26232708,-0.06866369,-1.2627782
87,4,even,0.50673455,-1.0731891,-0.2515837,0.10326582,1.2946491,-0.17957686,-1.4483042,-1.6305671,1.4806166,0.2424969,0.36288333,-1.0302328,-0.7195831,0.5196917,-0.91478795,0.2286771
88,5,odd,-0.26010984,0.23453379,-0.056063615,0.71082675,-0.71723986,-0.08547421,0.20545128,0.87069803,-0.98130685,-0.47601286,-0.36295372,1.3979216,0.26018828,0.41375524,-0.7787492,-1.0324826
89,2,even,-2.1237953,-0.21425968,0.016609855,0.3404877,1.4930854,-0.45926306,0.69057196,-1.0383605,-1.4931748,0.31708747,0.7166786,-0.00074863434,0.26538748,0.21936196,1.6470445,-0.20229086
90,7,odd,0.025944985,-0.73300225,-0.003976237,-1.5742136,-0.6069585,0.17211623,-1.333194,0.38340956,1.1294101,-1.4150265,-0.578871,0.24164551,0.44047996,0.98920137,1.6712137,-0.17033502
91,7,odd,0.3146639,-0.7942718,0.032381296,-1.207577,0.41276935,0.27159792,-0.4316466,-0.33821386,0.3945369,-0.93844885,-0.34652045,1.0403125,0.3231144,1.2083726,1.219575,-0.29920188
92,7,odd,-0.28094274,0.12505785,0.26773775,-1.5423445,0.24366593,0.8181931,-1.0328557,0.57091707,0.6914284,-2.26662,-1.0383438,-0.25863618,1.2390254,0.780859,0.35069096,-0.68841374
93,9,odd,0.34400833,-0.9943539,-0.06673884,-1.3888738,-0.758917,-0.05107273,-0.6484803,1.0305274,2.1208787,0.012730855,0.6234744,0.35936406,0.32745385,0.5547004,0.262626,-0.5801308
94,5,odd,-0.3774907,-0.36842605,0.0671961,0.79401886,-0.4740703,0.4332581,-1.2558799,1.6127405,-0.45616522,0.81883776,-0.5941927,1.372588,-0.3890321,1.4749738,-1.3929439,-1.1296636
95,2,even,-0.760819,0.19963899,0.050365753,-0.92074883,1.3418711,0.1616061,0.27764875,-0.21507286,0.52454615,0.7273477,-0.93521804,-1.1376743,1.2259009,0.062070623,0.5629993,-0.93171525
96,7,odd,0.5650789,0.32077762,0.1570976,-0.48830912,-0.19636175,0.06763129,-1.8917146,-0.12066972,1.1759309,-1.2875445,-0.08395411,0.5167826,-0.049519118,1.4436611,-0.056056112,-0.8561995
97,9,odd,-0.698267,-0.52972054,-0.14762563,-1.0291877,-0.5784019,0.11227965,-0.55923885,0.8934328,0.8976189,0.32027352,0.109160416,1.8700967,-0.18700829,1.0922952,-0.27103984,1.1761005
98,1,odd,1.3489819,-1.2682766,-0.13707027,0.55891377,0.1421781,-0.12212047,0.14142959,-0.3932934,-1.4582925,1.1173338,-0.16155875,0.24566701,0.51849586,-0.26299584,-0.29170245,1.4752009
99,2,even,0.33406585,0.30084363,-0.07479532,-1.1248561,1.316829,0.38639098,0.7108548,0.48425764,0.052908055,1.1167185,-1.1006052,0.7677288,0.8591282,-0.62509596,-0.8054295,0.73947936
100,5,odd,-0.49061006,-0.16245311,-0.37698478,0.31342167,-0.92726386,-0.6565303,1.6248546,0.4393198,-0.70331234,-0.63357365,0.568341,0.025676847,0.4048525,0.19031593,-1.5264015,-0.7008882
101,0,even,0.99418473,0.9568386,0.039743133,-0.49703446,-0.2667172,-0.624162,-0.85941225,0.3436156,-0.24288568,0.86874604,1.2364208,0.29660225,0.44134402,0.51028466,-0.51463884,0.24662161
102,2,even,0.5520164,1.1715127,-0.29209518,-0.7754594,1.1873379,-0.31933928,0.58222187,0.902172,0.12966532,-1.6129422,0.6388747,-0.28334975,1.535895,0.4393232,-0.9967246,0.12906787
103,4,even,0.236797,0.92965364,0.21671629,0.02528066,1.1588241,0.21038134,-0.9858777,1.0765076,0.551248,0.24604693,-0.09056197,1.0074869,1.0223604,0.98506194,-0.96574897,1.0241705
104,7,odd,-0.37249202,-1.145207,-0.002297733,-0.9949551,0.16424549,0.17400618,-1.742212,-0.83458817,-0.1079511,-0.588982,-0.40922496,0.03436771,0.78348184,-0.58830106,0.6808449,-0.111863114
105,3,odd,0.08559656,1.0142564,-0.26934117,-0.068650834,-0.49023682,-1.1222696,-0.592685,2.3339407,-1.516143,-0.9409435,1.0943633,-1.0981238,1.076316,-0.22247209,0.2638693,0.020799754
106,4,even,-0.64765316,-1.9864194,-0.15897326,-1.0915755,-0.5194113,-0.35792154,-0.2864285,-1.3681183,1.199338,-0.19829698,0.36551633,-0.20614737,0.45800963,-0.19781555,-0.2446002,0.22508782
107,3,odd,1.4093637,-0.27421093,-0.26042056,-0.030512553,1.2760028,-0.6457325,-0.13994026,0.34012747,-0.08817325,-0.44204372,0.4172462,-1.1359353,-0.54826504,0.84954596,1.0842192,-0.04761876
108,5,odd,0.8902275,-0.913847,-0.49505478,-0.65642804,0.30965695,-0.5241218,-1.1800973,0.36981654,0.028529055,-0.9299284,0.04729539,-1.0015211,-0.6179518,-0.796988,1.2069384,-0.037064232
109,1,odd,-0.09564106,-1.3350983,-0.22268264,-0.622679,-0.34502262,-0.21089748,0.124534994,-0.50509,-0.39484844,-0.63790864,0.16969663,0.67421246,-1.371352,1.0681795,-0.61792874,1.3039135
110,3,odd,0.27786675,0.6210113,-0.16104761,-0.6349091,-1.1618849,-0.26596454,-0.9420958,1.7604396,-0.7645205,-0.90305454,0.7352021,0.41738975,0.4798565,-0.15618183,-1.987452,0.92535895
111,8,even,-0.1484269,-1.4374499,-0.088897526,0.073124364,-0.51931584,0.13471064,-2.6047032,1.2202194,-0.16649434,0.074341744,0.50136226,-0.3900801,-0.78455937,-0.5509223,-0.90867066,-0.27388078
112,8,even,-1.5971215,-0.6434873,-0.1786792,1.1803368,0.58073837,-0.067743585,-0.6396282,0.7542481,-1.006222,-1.539379,-0.7125305,0.12098673,0.76522243,0.68783337,-1.4410535,-0.25182074
113,7,odd,0.13848741,-0.8848763,0.11218748,-1.307325,0.029650502,0.28597534,-1.7535691,1.0437789,0.5830162,-1.4137404,-0.27703762,0.30224591,0.43681014,1.4119464,1.8201318,0.17824152
114,0,even,-0.16898514,0.8782241,-0.08233975,1.0150992,-0.9315306,-0.09913768,0.48385048,-0.11654931,-0.61325186,-0.006039344,0.040313948,0.26083338,-0.8276361,-0.09585014,-0.4982701,-1.6431187
115,7,odd,0.61863124,-1.4776555,0.019148335,-1.2121098,-1.0072472,0.092982024,-0.8275178,0.4770763,0.6899572,-0.6089087,0.059277385,0.765386,0.32278776,1.4165468,1.1991311,0.30044818
116,2,even,0.8675684,-0.5776577,0.26789922,0.11254823,0.1407009,0.706482,0.5821774,1.170042,-1.7048285,-0.7468732,-1.1100312,0.8352611,-0.031532943,-0.17004476,-0.70474887,0.10888949
117,2,even,-0.6829901,0.0124171525,0.13299972,-1.1549845,1.6252117,0.31143802,0.4865962,-0.6359713,-1.3255813,0.59509325,-0.42865685,-0.10986683,0.5986705,-0.45081842,1.373275,1.0473026
118,6,even,-0.982464,0.2631784,0.14545788,0.32651857,-1.10418,0.11610177,0.7124496,-2.1693215,0.83321744,-0.15651613,-0.29823694,0.010940939,0.21844824,-0.56210506,-0.24648201,0.5939464
119,5,odd,1.3653136,-1.3053117,0.15359233,-0.17237882,0.105303735,0.077621624,-1.0011215,0.01581484,-0.45836577,-0.37220734,0.01329639,-0.44392252,-0.33699435,-1.5616074,-1.4598079,-0.22734827
120,6,even,0.093236506,-1.4016227,-0.23501451,0.6628434,-0.5620288,-0.25890595,0.9625395,-0.10492621,-0.21902302,-0.4877734,0.362084,-0.63798356,-0.40410745,1.2358049,-0.49007308,2.0383437
121,9,odd,1.1796964,-1.6404867,-0.059811592,0.055549175,0.23009104,-0.33384958,-0.18925086,-0.9955305,-0.8175666,0.2861197,0.35078022,0.4664083,0.49133104,0.33704555,-0.24027163,0.76840234
122,8,even,-0.8277978,-0.016830076,-0.15002578,-0.59779847,-0.92995155,-0.14744486,0.06816809,1.4035609,0.15285203,1.4596195,0.43006948,0.77978396,-0.82185405,0.8502496,0.7715474,1.8674822
123,4,even,0.6101232,-1.871113,-0.12554148,-0.24508552,0.18810678,-0.5481877,0.16444904,-0.63422215,1.5739048,-1.1934025,0.8460354,0.49548545,-0.57586586,-0.54935884,-0.019460961,-0.37659594
124,3,odd,0.59730047,0.44085598,-0.3679936,0.35338315,0.5159784,-1.0316449,0.7638478,1.6957569,-0.0029914826,-1.405916,0.30132917,-0.1949749,0.17647925,-0.29651177,1.0564595,-0.71091855
125,6,even,0.3168645,-0.22138903,0.16694379,-0.45262888,-0.70718086,0.03131857,0.83637214,-1.4407079,0.7152831,0.4141742,0.30565298,-1.471302,0.8249335,-0.72243613,-0.28880182,0.66028637
